TOKEN                          ID                     membri  NOME CHE L'ID PROMETTE                      esempio di etichetta trattata
STR:gdc0879                    CHEBI:83405                2  GDC-0879                                    ASPC1 + GDC0879
STR:bay_11_7082                CHEBI:85928                2  (E)-3-tosylacrylonitrile                    Leiomyoma Primary Tissue Bay 11-7082 Treated
STR:ibet_151                   CHEBI:95083                2  I-BET151                                    IBET-151 90 min
STR:betahydroxybutyrate        CHEMBL:CHEMBL1162496       2  3-HYDROXYBUTYRIC ACID, (+/-)-               betahydroxybutyrate (breast)
STR:anti_cd3                   CHEMBL:CHEMBL1201608       2  MUROMONAB-CD3                               anti-CD3 48h
STR:puh71                      CHEMBL:CHEMBL200102        2  PU-H71                                      K562 differentiated cells treated with PUH71
STR:cpd10                      CHEMBL:CHEMBL203665        2  RELACATIB                                   CCMCL1 MCL cells cpd10
STR:mcsf                       CHEMBL:CHEMBL2108239       2  CILMOSTIM                                   PBMC-derived M0 macrophage MCSF
STR:yeast                      CHEMBL:CHEMBL2108815       2  YEAST, DRIED                                Yeast infection
STR:mk8931                     CHEMBL:CHEMBL3301601       2  VERUBECESTAT                                Glioma stem cells treated with MK8931
STR:bvd523                     CHEMBL:CHEMBL3590106       2  ULIXERTINIB                                 PDX4_BVD523
STR:px12                       CHEMBL:CHEMBL406050        2  PX-12                                       DU145_PX12_24h
STR:cpg1018                    CHEMBL:CHEMBL4297680       2  1018 ISS                                    CpG1018-treated pDCs (Male)
STR:tak981                     CHEMBL:CHEMBL5095044       2  SUBASUMSTAT                                 TAK981
STR:rnase1                     HGNC:10044                 2  RNASE1                                      THP-1, RNase1, 1 µg/ml, 12h
STR:shot                       HGNC:10854                 2  SHOX2                                       CSC_shH1.0-1_SHOT_Dox_16h_rep1-2
STR:slbp                       HGNC:10904                 2  SLBP                                        PANC-1, Slbp
STR:smarcb1                    HGNC:11103                 2  SMARCB1                                     iPSC SMARCB1
STR:kdm5c                      HGNC:11114                 2  KDM5C                                       ACHN shKDM5C
STR:spink1                     HGNC:11244                 2  SPINK1                                      DU145 SPINK1
STR:spink3                     HGNC:11244                 2  SPINK1                                      DU145 SPINK3
STR:spink2                     HGNC:11245                 2  SPINK2                                      DU145 SPINK2
STR:sqle                       HGNC:11279                 2  SQLE                                        SQLE-treated macrophages (blood)
STR:supt4h1                    HGNC:11467                 2  SUPT4H1                                     SUPT4H1
STR:tbx20                      HGNC:11598                 2  TBX20                                       TBX20 (Primary human ventricular fibroblasts)
STR:zeb1                       HGNC:11642                 2  ZEB1                                        Ls174T ZEB1
STR:tiam1                      HGNC:11805                 2  TIAM1                                       TIAM1
STR:klf11                      HGNC:11811                 2  KLF11                                       KLF11 Overexpression
STR:vegf_c                     HGNC:12682                 2  VEGFC                                       VEGF-C on HMVEC-dLyAd (skin)
STR:acta                       HGNC:129                   2  ACTA1                                       ActA-treated HepaRG hepatocytes
STR:aicda                      HGNC:13203                 2  AICDA                                       AICDA-/- naive B cells
STR:tlx3                       HGNC:13532                 2  TLX3                                        Jurkat TLX3
STR:rab23                      HGNC:14263                 2  RAB23                                       KYSE30_RAB23
STR:sirt6                      HGNC:14934                 2  SIRT6                                       Early Passage SIRT6-/- hMSCs
STR:trim28                     HGNC:16384                 2  TRIM28                                      MCF7 + TRIM28
STR:cd34                       HGNC:1662                  2  CD34                                        Bone Marrow Cells CD34+ (Case)
STR:smg7                       HGNC:16792                 2  SMG7                                        SMG7
STR:wtap                       HGNC:16846                 2  WTAP                                        Trophoblast-like cells, WTAP perturbation, 48h
STR:mettl3                     HGNC:17563                 2  METTL3                                      METTL3
STR:exosc3                     HGNC:17944                 2  EXOSC3                                      EXOSC3-/- Fibroblast derived iNPCs
STR:cdyl                       HGNC:1811                  2  CDYL                                        CDYL-/-
STR:sox7                       HGNC:18196                 2  SOX7                                        SOX7 Overexpression
STR:rnd1                       HGNC:18314                 2  RND1                                        Rnd1 knockdown
STR:camta1                     HGNC:18806                 2  CAMTA1                                      SW872 liposarcoma cells, CAMTA1
STR:mda5                       HGNC:18873                 2  IFIH1                                       MDA5 12H (single replicate)
STR:nrde2                      HGNC:20186                 2  NRDE2                                       NRDE2 knockdown
STR:rgcc                       HGNC:20369                 2  RGCC                                        NHLF1 RGCC
STR:foxq1                      HGNC:20951                 2  FOXQ1                                       Melanoma FOXQ1 Overexpression
STR:grwd1                      HGNC:21270                 2  GRWD1                                       J82 GRWD1
STR:rbm24                      HGNC:21539                 2  RBM24                                       MYH6:mCherry hESCs RBM24-/-
STR:adar1                      HGNC:225                   2  ADAR                                        HEK293T ADAR1
STR:morc3                      HGNC:23572                 2  MORC3                                       MORC3-/- STAT1-/- STAT2-/-
STR:car_t                      HGNC:24323                 2  CARTPT                                      SKOV3 cocultured with CAR-T cells
STR:cst1                       HGNC:2473                  2  CST1                                        A549_CST1
STR:damage                     HGNC:24934                 2  MAGEE1                                      Ascending Colon Damage 5 Rounds
STR:linc00339                  HGNC:25011                 2  LINC00339                                   L-HESC (1455) LINC00339
STR:ctrl                       HGNC:2524                  2  CTRL                                        Healthy Control (CTRL)
STR:ctsv                       HGNC:2538                  2  CTSV                                        CTSV
STR:tet2                       HGNC:25941                 2  TET2                                        TET2 Perturbation
STR:sting                      HGNC:27962                 2  STING1                                      MDA-MB-436 STING
STR:tchp                       HGNC:28135                 2  TCHP                                        Normal Breast Tissue TCHP Treated
STR:igf2bp1                    HGNC:28866                 2  IGF2BP1                                     J82 IGF2BP1
STR:igf2bp2                    HGNC:28867                 2  IGF2BP2                                     J82 IGF2BP2
STR:jmjd3                      HGNC:29012                 2  KDM6B                                       JMJD3 knockdown in engineered human naive CD4 T cells
STR:nop58                      HGNC:29926                 2  NOP58                                       primary_culture, NOP58
STR:hapstr1                    HGNC:30103                 2  HAPSTR1                                     293T cells with HAPSTR1 overexpression
STR:hb_egf                     HGNC:3059                  2  HBEGF                                       HB-EGF 30 min
STR:dro1                       HGNC:30649                 2  CCDC80                                      dro1 3h
STR:mir_100                    HGNC:31487                 2  MIR100                                      PANC-1 + miR-100 24h
STR:mir_155                    HGNC:31542                 2  MIR155                                      Huh7_miR-155
STR:mir_199b                   HGNC:31573                 2  MIR199B                                     miR-199b
STR:mir_200c                   HGNC:31580                 2  MIR200C                                     mir-200c
STR:mir_203                    HGNC:31581                 2  MIR203A                                     miR-203
STR:mir_221                    HGNC:31601                 2  MIR221                                      Knockout of miR-221
STR:mir_222                    HGNC:31602                 2  MIR222                                      Knockout of miR-222
STR:mir_29a                    HGNC:31616                 2  MIR29A                                      miR-29a overexpressing (1)
STR:mir_9_1                    HGNC:31641                 2  MIR9-1                                      MCF-7 cells transfected with MiR_9_1
STR:mir_9_2                    HGNC:31642                 2  MIR9-2                                      MCF-7 cells transfected with MiR_9_2
STR:mir_375                    HGNC:31868                 2  MIR375                                      LNCaP + miR-375
STR:microrna_489               HGNC:32074                 2  MIR489                                      microRNA-489
STR:mir_503                    HGNC:32138                 2  MIR503                                      miR-503
STR:ago1                       HGNC:3262                  2  AGO1                                        AGO1-/-
STR:mir_630                    HGNC:32886                 2  MIR630                                      MiR-630
STR:microrna_668               HGNC:33135                 2  MIR668                                      microRNA-668
STR:elf4                       HGNC:3319                  2  ELF4                                        Caco-2 ELF4-/-
STR:mir_874                    HGNC:33643                 2  MIR874                                      MCF-7 + miR-874
STR:p300                       HGNC:3373                  2  EP300                                       neurons donor A1 P300
STR:ets1                       HGNC:3488                  2  ETS1                                        ETS1 Overexpression
STR:etv1                       HGNC:3490                  2  ETV1                                        LNCaP ETV1
STR:ezh2                       HGNC:3527                  2  EZH2                                        EZH2-/- SKOV3
STR:cd23                       HGNC:3612                  2  FCER2                                       Day 5
STR:afgf                       HGNC:3665                  2  FGF1                                        aFGF
STR:fgf9                       HGNC:3687                  2  FGF9                                        Day 12 Differentiating Cells Treated with FGF9
STR:magi2_as3                  HGNC:40862                 2  MAGI2-AS3                                   22RV1 + MAGI2-AS3 (disease model)
STR:page4                      HGNC:4108                  2  PAGE4                                       22RV1 cell line treated with PAGE4
STR:hif1a_as1                  HGNC:43014                 2  HIF1A-AS1                                   HIF1A-AS1 Overexpression
STR:gpr17                      HGNC:4471                  2  GPR17                                       GPR17
STR:hnrnp_a1                   HGNC:5031                  2  HNRNPA1                                     TREX FLP-In 293T cells hnRNP A1
STR:hnrnpa1                    HGNC:5031                  2  HNRNPA1                                     K562_hnRNPA1
STR:hnrnpc                     HGNC:5035                  2  HNRNPC                                      MDA-MB-231, HNRNPC knockdown (CRISPR)
STR:hnrnpm                     HGNC:5046                  2  HNRNPM                                      hnRNPM KD
STR:hoxa1                      HGNC:5099                  2  HOXA1                                       HOXA1 knockdown
STR:ifn_a16                    HGNC:5421                  2  IFNA16                                      HuLu_247-1 IFN_A16
STR:ifn_a6                     HGNC:5427                  2  IFNA6                                       HuLu_214-3 IFN_A6
STR:igfbp5                     HGNC:5474                  2  IGFBP5                                      SKMEL28 P24 IGFBP5
STR:apex1                      HGNC:587                   2  APEX1                                       A549 + APEX1
STR:apobec1                    HGNC:604                   2  APOBEC1                                     HEK293T_APOBEC1_1.5ug
STR:klk5                       HGNC:6366                  2  KLK5                                        KLK5
STR:sbma                       HGNC:644                   2  AR                                          SBMA Lateral Motor Cortex (Donor 3)
STR:areg                       HGNC:651                   2  AREG                                        DU145 AREG
STR:lcn2                       HGNC:6526                  2  LCN2                                        MCF7 LCN2-/-
STR:meis1                      HGNC:7000                  2  MEIS1                                       MEIS1-/- H1 iPSC-derived cells day 3
STR:mll1                       HGNC:7132                  2  KMT2A                                       CWR22-Rv1 cells, MLL1 knockdown
STR:ascl1                      HGNC:738                   2  ASCL1                                       U251 cells overexpressing Ascl1 for 6 days
STR:c_myc                      HGNC:7553                  2  MYC                                         c-MYC 16 days
STR:atf3                       HGNC:785                   2  ATF3                                        ATF3-/- ZIKV Infection (2)
STR:pkp2                       HGNC:9024                  2  PKP2                                        PKP2 Overexpression
STR:pla2g10                    HGNC:9029                  2  PLA2G10                                     PLA2G10 (Donor 501)
STR:b3galt5                    HGNC:920                   2  B3GALT5                                     B3GALT5-/- + 2iLAF medium
STR:prdm1                      HGNC:9346                  2  PRDM1                                       PRDM1β
STR:prelp                      HGNC:9357                  2  PRELP                                       PRELP
STR:ptpn14                     HGNC:9647                  2  PTPN14                                      A704 PTPN14
STR:rbfox2                     HGNC:9906                  2  RBFOX2                                      NB4 RBFOX2
STR:upf1                       HGNC:9962                  2  UPF1                                        UPF1
STR:hesc                       MeSH:D000066449            2  Human Embryonic Stem Cells                  Schwann cells (hESC)
STR:trisomy_18                 MeSH:D000073842            2  Trisomy 18 Syndrome                         Trisomy 18
STR:smoker                     MeSH:D000074285            2  Smokers                                     Smokers
STR:vaper                      MeSH:D000074285            2  Smokers                                     Vapers
STR:covid19                    MeSH:D000086382            2  COVID-19                                    Human Ventral Midbrain Tissue, COVID19 Patient
STR:aortic_dissection          MeSH:D000784               2  Aortic Dissection                           Aortic dissection (TAD)
STR:angina_pectoris            MeSH:D000787               2  Angina Pectoris                             angina pectoris (stable)
STR:antinuclear_antibody       MeSH:D000974               2  Antibodies, Antinuclear                     Antinuclear Antibody Treated
STR:bacteria                   MeSH:D001419               2  Bacteria                                    Bacteria (Whole Blood)
STR:burn                       MeSH:D002056               2  Burns                                       Discarded Burn Tissue
STR:lynch_syndrome             MeSH:D003123               2  Colorectal Neoplasms, Hereditary Nonpolypo  Colorectal Lynch Syndrome
STR:cryptorchidism             MeSH:D003456               2  Cryptorchidism                              Cryptorchidism Testicular Biopsy
STR:cuprizone                  MeSH:D003471               2  Cuprizone                                   Cuprizone-treated Glial Progenitor Cells
STR:dermatomyositis            MeSH:D003882               2  Dermatomyositis                             Dermatomyositis Case
STR:type2_diabetes             MeSH:D003924               2  Diabetes Mellitus, Type 2                   Type 2 Diabetes Islets
STR:trisomy21                  MeSH:D004314               2  Down Syndrome                               iPSC derived neurons Trisomy21
STR:emphysema                  MeSH:D004646               2  Emphysema                                   Emphysema
STR:ependymoma                 MeSH:D004806               2  Ependymoma                                  Ependymoma
STR:fibroblasts                MeSH:D005347               2  Fibroblasts                                 BFTC-905 with conditioned medium from fibroblasts
STR:gerd                       MeSH:D005764               2  Gastroesophageal Reflux                     GERD
STR:castleman_disease          MeSH:D005871               2  Castleman Disease                           Castleman disease lymph node
STR:gingivitis                 MeSH:D005891               2  Gingivitis                                  Gingivitis (Age 25)
STR:glomerulonephritis         MeSH:D005921               2  Glomerulonephritis                          Primary Glomerulonephritis
STR:igg1                       MeSH:D007074               2  Immunoglobulin G                            Blood endothelial cells, IgG1, 3 days
STR:ischemia                   MeSH:D007511               2  Ischemia                                    ischemia (60A)
STR:kidney_medulla             MeSH:D007679               2  Kidney Medulla                              Kidney Medulla Donor 2
STR:lactoferrin                MeSH:D007781               2  Lactoferrin                                 Lactoferrin
STR:liposarcoma                MeSH:D008080               2  Liposarcoma                                 Liposarcoma (Retroperitoneum)
STR:lats                       MeSH:D008135               2  Long-Acting Thyroid Stimulator              A704 LATS
STR:lyme_disease               MeSH:D008193               2  Lyme Disease                                Patient 01-003 acute Lyme pre-treatment
STR:macrophage                 MeSH:D008264               2  Macrophages                                 MDA-MB-231 + Macrophage
STR:meningioma                 MeSH:D008579               2  Meningioma                                  Meningioma tissue (sample 1)
STR:ifn_i                      MeSH:D009018               2  Morocco                                     Ileum IFN-I
STR:nephron                    MeSH:D009399               2  Nephrons                                    Nephron organoids treated with PN96 for day 7
STR:neuroblastoma              MeSH:D009447               2  Neuroblastoma                               SK-N-DZ (neuroblastoma)
STR:oncogene                   MeSH:D009857               2  Oncogenes                                   WI-38hTERT/GFP-RAF1-ER Oncogene senescent
STR:perfusion                  MeSH:D010477               2  Perfusion                                   Perfusion Only
STR:periodontitis              MeSH:D010518               2  Periodontitis                               Periodontitis (Age 56)
STR:placenta_accreta           MeSH:D010921               2  Placenta Accreta                            Placenta Accreta (Age 24)
STR:polycystic_ovary_syndrome  MeSH:D011085               2  Polycystic Ovary Syndrome                   PCOS primary culture P15
STR:polycythemia_vera          MeSH:D011087               2  Polycythemia Vera                           Polycythemia Vera HSCs
STR:pulmonary_fibrosis         MeSH:D011658               2  Pulmonary Fibrosis                          PF + Pirfenidone 1mM
STR:polya_mrna                 MeSH:D012333               2  RNA, Messenger                              A549 cells with polyA mRNA fractionation
STR:sarcoidosis                MeSH:D012507               2  Sarcoidosis                                 Sarcoidosis lung
STR:tetralogy_fallot           MeSH:D013771               2  Tetralogy of Fallot                         Tetralogy of Fallot
STR:thrombocytopenia           MeSH:D013921               2  Thrombocytopenia                            Thrombocytopenia Case 1
STR:trigeminal_neuralgia       MeSH:D014277               2  Trigeminal Neuralgia                        Trigeminal Neuralgia Cases
STR:vaccine                    MeSH:D014612               2  Vaccines                                    Vaccine Pre Vaccination
STR:colorectal_cancer          MeSH:D015179               2  Colorectal Neoplasms                        Colorectal Cancer patient (CRC-2405108)
STR:exercise                   MeSH:D015444               2  Exercise                                    Exercise (70 min)
STR:rett_syndrome              MeSH:D015518               2  Rett Syndrome                               Rett syndrome, Timepoint 1, Donor RTT2
STR:gastroparesis              MeSH:D018589               2  Gastroparesis                               High BMI Gastroparesis
STR:proliferative_vitreoretino MeSH:D018630               2  Vitreoretinopathy, Proliferative            Proliferative PVR PBMC
STR:il_12                      MeSH:D018664               2  Interleukin-12                              IL-12 (Donor 3849)
STR:heatshock                  MeSH:D018869               2  Heat-Shock Response                         OCI-Ly1 diffuse B-cell lymphoma cells subjected to heatshock
STR:coculture                  MeSH:D018920               2  Coculture Techniques                        CD14+ cells from PBMCs, Coculture, 72 hr
STR:stroke                     MeSH:D020521               2  Stroke                                      Stroke
STR:cbp_30                     MeSH:D037502               2  Galectin 3                                  iPSCs treated with CBP-30
STR:alexander_disease          MeSH:D038261               2  Alexander Disease                           Brain tissue AxD
STR:e_coli_k12                 MeSH:D048168               2  Escherichia coli K12                        E. coli K12 Donor 1
STR:overweight                 MeSH:D050177               2  Overweight                                  Overweight
STR:h9n2_virus                 MeSH:D053127               2  Influenza A Virus, H9N2 Subtype             A549 cells infected with H9N2 virus for 12 hours
STR:lissencephaly              MeSH:D054082               2  Lissencephaly                               Lissencephaly
STR:ehec                       MeSH:D054324               2  Enterohemorrhagic Escherichia coli          Caco-2_EHEC
STR:latent_tuberculosis        MeSH:D055985               2  Latent Tuberculosis                         Latent Tuberculosis - Unvaccinated
STR:peri_implantitis           MeSH:D057873               2  Peri-Implantitis                            Peri-implantitis Case
STR:cigarette                  MeSH:D062789               2  Tobacco Products                            Cigarette-treated Blood
STR:il27                       MeSH:D064094               2  Interleukin-27                              CD4+ T cells, IL27 stimulated
STR:tick_bite                  MeSH:D064927               2  Tick Bites                                  Blood Tick Bite Treated
STR:e_cigarette                MeSH:D066300               2  Electronic Nicotine Delivery Systems        E-cigarette-treated Blood
STR:h3n2                       NCBITaxon:119210           2  h3n2subtype                                 H3N2 24h
STR:skf96365                   CHEBI:145121               1  SKF-96365 hydrochloride                     SKF96365 Treated (Sample 1)
STR:pge_2                      CHEBI:15551                1  prostaglandin E2                            PGE-2 treated
STR:oleic_acid                 CHEBI:16196                1  oleic acid                                  SW872 treated with oleic acid for 7 days
STR:h2o2                       CHEBI:16240                1  hydrogen peroxide                           BEAS2B cells, H2O2, 150 uM, 3 days, 10% O2 tension
STR:pax2                       CHEBI:202070               1  PAX 2                                       PAX2 (24h)
STR:5_azacytidine              CHEBI:2038                 1  5-azacytidine                               Primary CD4+ T cells treated with 5'-azacytidine for 8h
STR:5azacytidine               CHEBI:2038                 1  5-azacytidine                               HSR-GBM1, 5azacytidine, rep1
STR:pladienolide_b             CHEBI:205761               1  Pladienolide B                              U2OS, pladienolide-B treatment
STR:5_dihydrotestosterone      CHEBI:2150                 1  5β-dihydrotestosterone                     LNCaP, 5α-dihydrotestosterone
STR:stemregenin1               CHEBI:230484               1  StemRegenin 1                               StemRegenin1 (3 replicates)
STR:cb839                      CHEBI:231605               1  telaglenastat                               HepG2 treated with CB839
STR:ntx301                     CHEBI:232584               1  NTX-301                                     OVCAR5 + NTX301
STR:cb103                      CHEBI:232592               1  CB-103                                      OCILy10 + CB103
STR:gsk_lsd1                   CHEBI:232752               1  GSK-LSD1                                    SW480_GSK_LSD1
STR:pt2385                     CHEBI:233314               1  PT-2385                                     PT2385
STR:a83_01                     CHEBI:233322               1  3-(6-methylpyridin-2-yl)-N-phenyl-4-(quino  A83-01 treated
STR:fht1015                    CHEBI:233326               1  CID 139371523                               CD8 Positive T-cells, FHT1015, Day 9
STR:1_deoxysphingosine         CHEBI:233818               1  1-deoxy-sphingosine                         1-deoxysphingosine
STR:epothiloned                CHEBI:29579                1  epothilone D                                EpothiloneD
STR:wy14643                    CHEBI:32509                1  pirinixic acid                              WY14643
STR:bz_atp                     CHEBI:34316                1  3'-O-(4-Benzoyl)benzoyl ATP                 SU-DHL-4 treated with BZ-ATP
STR:4hpp                       CHEBI:40279                1  allopurinol                                 THP-1 cells treated with 4HPP for 24 hours
STR:peg10                      CHEBI:46550                1  decaethylene glycol                         PEG10
STR:nutlin3                    CHEBI:46742                1  Nutlin-3                                    RPE1-hTERT nutlin3
STR:cytochalasind              CHEBI:529996               1  cytochalasin D                              RPE1_CytochalasinD
STR:xmd892                     CHEBI:60325                1  XMD8-92                                     XMD892 1 uM 48h
STR:t_bhp                      CHEBI:64090                1  tert-butyl hydroperoxide                    t-BHP 300 µM
STR:amyloid_beta               CHEBI:64645                1  amyloid-β                                  hiPSC-derived NGN2-neurons, amyloid-beta
STR:edta_2                     CHEBI:64755                1  EDTA(2−)                                  MCF10-A EDTA-2
STR:5asa                       CHEBI:6775                 1  mesalamine                                  5ASA Baseline
STR:a366                       CHEBI:746980               1  A-366                                       A375 + A366
STR:aa_147                     CHEBI:747295               1  AA147                                       Y567N mutant iPSC-derived retinal organoid treated with AA 1
STR:mg132                      CHEBI:75142                1  N-benzyloxycarbonyl-L-leucyl-L-leucyl-L-le  MG132 1uM
STR:y27632                     CHEBI:75393                1  Y-27632                                     Y27632-treated keratinocytes
STR:compoundc                  CHEBI:78510                1  dorsomorphin                                PLC/PRF/5 compoundC
STR:pbde47                     CHEBI:81584                1  2,2',4,4'-Tetrabromodiphenyl ether          PBDE47
STR:ll37                       CHEBI:81664                1  LL-37                                       THP-1 + LL37
STR:cal101                     CHEBI:82701                1  idelalisib                                  CAL101-treated CD3+ lymphocytes
STR:u73122                     CHEBI:90690                1  U-73122                                     Nalm-6 cells treated with U73122 for 16 hours
STR:sns032                     CHEBI:91399                1  N-(5-{[(5-tert-butyl-1,3-oxazol-2-yl)methy  SNS032
STR:araa                       CHEMBL:CHEMBL1090          1  VIDARABINE                                  iNeuron_AraA_40uM_18h
STR:rtpa                       CHEMBL:CHEMBL1201593       1  ALTEPLASE                                   rtPA-treated neutrophils
STR:rela                       CHEMBL:CHEMBL1233          1  CARISOPRODOL                                RELA-/- (Donor 1)
STR:estradiol                  CHEMBL:CHEMBL135           1  ESTRADIOL                                   MCF7, β-estradiol
STR:vitamind                   CHEMBL:CHEMBL1536          1  ERGOCALCIFEROL                              VitaminD_Severe_AN011
STR:ms40                       CHEMBL:CHEMBL2059073       1  SULISOBENZONE                               MS40
STR:cdb4124                    CHEMBL:CHEMBL2105694       1  TELAPRISTONE ACETATE                        CDB4124
STR:r568                       CHEMBL:CHEMBL2107572       1  TECALCET HYDROCHLORIDE                      HT-29_R568
STR:anti_il_4                  CHEMBL:CHEMBL2108119       1  PASCOLIZUMAB                                CD8+ T-cells stimulated with anti-IL-4
STR:coaltar                    CHEMBL:CHEMBL2108232       1  COAL TAR                                    Primary keratinocytes treated with coaltar for 24 hours
STR:gdc0349                    CHEMBL:CHEMBL2331680       1  RG-7603                                     OTUD5-wild type + GDC0349
STR:cb1954                     CHEMBL:CHEMBL23330         1  TRETAZICAR                                  iPSC-derived ECs treated with CB1954
STR:cart19                     CHEMBL:CHEMBL3301574       1  TISAGENLECLEUCEL                            GM-CSF_CART19
STR:amg337                     CHEMBL:CHEMBL3785909       1  AMG-337                                     DU145_prostate_cancer_AMG337
STR:adh1                       CHEMBL:CHEMBL3818130       1  ADH-1                                       ADH1
STR:px_12                      CHEMBL:CHEMBL406050        1  PX-12                                       U87 cells treated with PX 12
STR:mk0752                     CHEMBL:CHEMBL4205422       1  MK-0752                                     MK0752
STR:bms986158                  CHEMBL:CHEMBL4297458       1  EZOBRESIB                                   CRT513 cells treated with BMS986158
STR:polyiclc                   CHEMBL:CHEMBL4297559       1  HILTONOL                                    PolyICLC
STR:2r6r_hnk                   CHEMBL:CHEMBL4650718       1  HYDROXYNORKETAMINE, (2R,6R)                 2R6R-HNK
STR:uc_msc                     CHEMBL:CHEMBL5314881       1  SOLIZMESTROCEL                              Umbilical cord blood cells co-cultured with UC-MSC
STR:rn7sk                      HGNC:10037                 1  RN7SK                                       Rn7sk
STR:serpinb3                   HGNC:10569                 1  SERPINB3                                    AsPC-1_SB3
STR:scd1                       HGNC:10571                 1  SCD                                         SCD1 Knockout
STR:itac                       HGNC:10638                 1  CXCL11                                      ITAC
STR:bmi1                       HGNC:1066                  1  BMI1                                        BMI1
STR:srsf1                      HGNC:10780                 1  SRSF1                                       SRSF1
STR:srsf11                     HGNC:10782                 1  SRSF11                                      SRSF11
STR:srsf2                      HGNC:10783                 1  SRSF2                                       SRSF2
STR:srsf3                      HGNC:10785                 1  SRSF3                                       SRSF3
STR:srsf4                      HGNC:10786                 1  SRSF4                                       SRSF4
STR:srsf5                      HGNC:10787                 1  SRSF5                                       SRSF5
STR:srsf6                      HGNC:10788                 1  SRSF6                                       SRSF6
STR:srsf7                      HGNC:10789                 1  SRSF7                                       SRSF7
STR:srsf9                      HGNC:10791                 1  SRSF9                                       SRSF9
STR:sem1                       HGNC:10845                 1  SEM1                                        Hematopoietic stem/progenitor cells treated with SEM1
STR:sat3                       HGNC:10864                 1  ST3GAL4                                     Subcutaneous adipose tissues, cancer-associated cachexia pat
STR:prmt5                      HGNC:10894                 1  PRMT5                                       PRMT5 knockdown
STR:brca1                      HGNC:1100                  1  BRCA1                                       BRCA1
STR:nhe1                       HGNC:11071                 1  SLC9A1                                      NHE1 Overexpression
STR:sox18                      HGNC:11194                 1  SOX18                                       SOX18 Overexpression
STR:sox15                      HGNC:11196                 1  SOX15                                       ESC primed SOX15-/-
STR:sox4                       HGNC:11200                 1  SOX4                                        HMLE SOX4
STR:sox5                       HGNC:11201                 1  SOX5                                        SOX5
STR:chip                       HGNC:11427                 1  STUB1                                       Chip
STR:tbca                       HGNC:11579                 1  TBCA                                        TBCA 30uM 6h
STR:hnf1a                      HGNC:11621                 1  HNF1A                                       HepG2_HNF1A_7days
STR:trf1                       HGNC:11728                 1  TERF1                                       cisplatin-resistant A549/DDP cells treated with TRF1
STR:tfeb                       HGNC:11753                 1  TFEB                                        TFEB Overexpression
STR:tom1                       HGNC:11982                 1  TOM1                                        B-ALL cell line, non-MLLr, TOM1
STR:hit1                       HGNC:12309                 1  ZNHIT3                                      Hit1
STR:ugt2b17                    HGNC:12547                 1  UGT2B17                                     MEC-1 + human UGT2B17 (overexpressed)
STR:wars1                      HGNC:12729                 1  WARS1                                       WARS1
STR:znf135                     HGNC:12919                 1  ZNF135                                      A549 cells with ZNF135 overexpression
STR:znf141                     HGNC:12926                 1  ZNF141                                      A549 cells with ZNF141 overexpression
STR:znf169                     HGNC:12957                 1  ZNF169                                      A549 cells with ZNF169 overexpression
STR:znf19                      HGNC:12981                 1  ZNF19                                       A549 cells with ZNF19 overexpression
STR:znf182                     HGNC:13001                 1  ZNF182                                      A549 cells with ZNF182 overexpression
STR:znf248                     HGNC:13041                 1  ZNF248                                      A549 cells with ZNF248 overexpression
STR:znf26                      HGNC:13053                 1  ZNF26                                       A549 cells with ZNF26 overexpression
STR:znf266                     HGNC:13059                 1  ZNF266                                      A549 cells with ZNF266 overexpression
STR:znf273                     HGNC:13067                 1  ZNF273                                      A549 cells with ZNF273 overexpression
STR:znf274                     HGNC:13068                 1  ZNF274                                      A549 cells with ZNF274 overexpression
STR:znf30                      HGNC:13090                 1  ZNF30                                       A549 cells with ZNF30 overexpression
STR:znf33a                     HGNC:13096                 1  ZNF33A                                      A549 cells with ZNF33A overexpression
STR:znf44                      HGNC:13110                 1  ZNF44                                       A549 cells with ZNF44 overexpression
STR:znf75d                     HGNC:13145                 1  ZNF75D                                      A549 cells with ZNF75D overexpression
STR:znf8                       HGNC:13154                 1  ZNF8                                        A549 cells with ZNF8 overexpression
STR:lgr4                       HGNC:13299                 1  LGR4                                        LGR4-/- (Day 2)
STR:znf257                     HGNC:13498                 1  ZNF257                                      A549 cells with ZNF257 overexpression
STR:znf317                     HGNC:13507                 1  ZNF317                                      A549 cells with ZNF317 overexpression
STR:neurog2                    HGNC:13805                 1  NEUROG2                                     U251 cells overexpressing Neurog2 for 6 days
STR:znf320                     HGNC:13842                 1  ZNF320                                      A549 cells with ZNF320 overexpression
STR:prdm8                      HGNC:13993                 1  PRDM8                                       PRDM8 knockout iPSC-derived neural cells
STR:cia1                       HGNC:14280                 1  CIAO1                                       CIA1 (18h)
STR:unc45b                     HGNC:14304                 1  UNC45B                                      UNC45B-/- hESCs-CM
STR:ikke                       HGNC:14552                 1  IKBKE                                       IKKe
STR:tincr                      HGNC:14607                 1  TINCR                                       UACC-812_TINCR
STR:cbx4                       HGNC:1554                  1  CBX4                                        CBX4-/- hMSC early passage
STR:lrpprc                     HGNC:15714                 1  LRPPRC                                      HEK293, LRPPRC
STR:ovol2                      HGNC:15804                 1  OVOL2                                       OVOL2
STR:znf337                     HGNC:15809                 1  ZNF337                                      A549 cells with ZNF337 overexpression
STR:angptl4                    HGNC:16039                 1  ANGPTL4                                     AGS cells treated with ANGPTL4
