"da","a","Freq"
"STR:gata2","HGNC:4171",1
"STR:gata3","HGNC:4172",1
"STR:norad","HGNC:44311",1
"STR:gpx1","HGNC:4553",1
"STR:grid2","HGNC:4576",1
"STR:hemoglobin_subunit_gamma_1","HGNC:4831",1
"STR:chaserr","HGNC:48626",1
"STR:angptl2","HGNC:490",1
"STR:hnf4a_as1","HGNC:49505",1
"STR:hmgb2","HGNC:5000",1
"STR:foxa1","HGNC:5021",1
"STR:foxa3","HGNC:5023",1
"STR:hnf4a","HGNC:5024",1
"STR:hnrnpa2b1","HGNC:5033",1
"STR:hnrnp_k","HGNC:5044",1
"STR:hnrnpk","HGNC:5044",1
"STR:gata2_as1","HGNC:51108",1
"STR:mzf1_as1","HGNC:51271",1
"STR:prmt1","HGNC:5187",1
"STR:tcons_00001221","HGNC:55459",1
"STR:itga5","HGNC:6141",1
"STR:jun_d","HGNC:6206",1
"STR:kv1_5","HGNC:6224",1
"STR:kir2_1","HGNC:6263",1
"STR:arf_4","HGNC:655",1
"STR:arf_5","HGNC:658",1
"STR:lmnb1","HGNC:6637",1
"STR:lmo1","HGNC:6641",1
"STR:lmo2","HGNC:6642",1
"STR:mage_a11","HGNC:6798",1
"STR:mapk1","HGNC:6871",1
"STR:mbd2","HGNC:6917",1
"STR:mitf","HGNC:7105",1
"STR:msi1","HGNC:7330",1
"STR:cmyc","HGNC:7553",1
"STR:mycn","HGNC:7559",1
"STR:myoc","HGNC:7610",1
"STR:ntrk1","HGNC:8031",1
"STR:onecut2","HGNC:8139",1
"STR:ovol1","HGNC:8525",1
"STR:pai1","HGNC:8583",1
"STR:pax1","HGNC:8615",1
"STR:pax3","HGNC:8617",1
"STR:pcnx2","HGNC:8736",1
"STR:g_rb1","HGNC:8979",1
"STR:ppard","HGNC:9235",1
"STR:pp1_beta","HGNC:9282",1
"STR:ampka1","HGNC:9376",1
"STR:ampka2","HGNC:9377",1
"STR:prkab1","HGNC:9378",1
"STR:prkab2","HGNC:9379",1
"STR:psmb8","HGNC:9545",1
"STR:ptk6","HGNC:9617",1
"STR:fox_2","HGNC:9906",1
"STR:bclxl","HGNC:992",1
"STR:dsrbd","MeSH:D000071241",1
"STR:trisomy_13","MeSH:D000073839",1
"STR:omacetaxine","MeSH:D000077863",1
"STR:latent_infection","MeSH:D000085343",1
"STR:stress_granules","MeSH:D000088162",1
"STR:decellularized_ecm","MeSH:D000091083",1
"STR:interferon_lambda","MeSH:D000095022",1
"STR:bluelight","MeSH:D000095743",1
"STR:acidosis","MeSH:D000138",1
"STR:lactic_acidosis","MeSH:D000140",1
"STR:acromegaly","MeSH:D000172",1
"STR:3_mcpd","MeSH:D000517",1
"STR:amyotrophic_lateral_sclerosis","MeSH:D000690",1
"STR:aortic_aneurysm","MeSH:D001014",1
"STR:aortitis","MeSH:D001025",1
"STR:arteriovenous_malformations","MeSH:D001165",1
"STR:ascites","MeSH:D001201",1
"STR:astrocytes","MeSH:D001253",1
"STR:bileacids","MeSH:D001647",1
"STR:breast_cancer","MeSH:D001943",1
"STR:bronchitis","MeSH:D001991",1
"STR:brucellosis","MeSH:D002006",1
"STR:marmoset","MeSH:D002144",1
"STR:candy","MeSH:D002182",1
"STR:dcis","MeSH:D002285",1
"STR:intracranial_aneurysm","MeSH:D002532",1
"STR:chimpanzee","MeSH:D002679",1
"STR:cholesteatoma","MeSH:D002781",1
"STR:chondrosarcoma","MeSH:D002813",1
"STR:coccidiosis","MeSH:D003048",1
"STR:colitis","MeSH:D003092",1
"STR:comb","MeSH:D003129",1
"STR:constipation","MeSH:D003248",1
"STR:dnase","MeSH:D003851",1
"STR:major_depressive_disorder","MeSH:D003865",1
"STR:diabetes_mellitus","MeSH:D003920",1
"STR:diagnosis","MeSH:D003933",1
"STR:diarrhea","MeSH:D003967",1
"STR:digestion","MeSH:D004063",1
"STR:emcv","MeSH:D004686",1
"STR:erythroblasts","MeSH:D004900",1
"STR:esophagus_cancer","MeSH:D004938",1
"STR:esophagitis","MeSH:D004941",1
"STR:fibromyalgia","MeSH:D005356",1
"STR:fragile_x_syndrome","MeSH:D005600",1
"STR:frontal_lobe","MeSH:D005625",1
"STR:gamma_radiation","MeSH:D005720",1
"STR:headache","MeSH:D006261",1
"STR:heat","MeSH:D006358",1
"STR:hepatocellular_carcinoma","MeSH:D006528",1
"STR:holiday","MeSH:D006693",1
"STR:hyperbilirubinemia","MeSH:D006932",1
"STR:immunization","MeSH:D007114",1
"STR:trisomy_xxy","MeSH:D007713",1
"STR:leishmaniasis","MeSH:D007896",1
"STR:leprosy","MeSH:D007918",1
"STR:luciferase","MeSH:D008156",1
"STR:lung_cancer","MeSH:D008175",1
"STR:lupus_nephritis","MeSH:D008181",1
"STR:lcmv","MeSH:D008217",1
"STR:rhesus_monkey","MeSH:D008253",1
"STR:marfan_syndrome","MeSH:D008382",1
"STR:memory","MeSH:D008568",1
"STR:meningioma_benign","MeSH:D008579",1
"STR:hgcl2","MeSH:D008627",1
"STR:microcephaly","MeSH:D008831",1
"STR:mite","MeSH:D008925",1
"STR:mitral_valve_prolapse","MeSH:D008945",1
"STR:myositis","MeSH:D009220",1
"STR:nasal_polyps","MeSH:D009298",1
"STR:nephrectomy","MeSH:D009392",1
"STR:nevus","MeSH:D009506",1
"STR:omentum","MeSH:D009852",1
"STR:osteoporosis","MeSH:D010024",1
"STR:pancreatic_carcinoma","MeSH:D010190",1
"STR:peritoneum","MeSH:D010537",1
"STR:pleura","MeSH:D010994",1
"STR:pneumonia","MeSH:D011014",1
"STR:pregnancy","MeSH:D011247",1
"STR:pterygium","MeSH:D011625",1
"STR:pulpitis","MeSH:D011671",1
"STR:radiation_therapy","MeSH:D011878",1
"STR:kaposi_s_sarcoma","MeSH:D012514",1
"STR:systemic_sclerosis","MeSH:D012595",1
"STR:sleep_deprivation","MeSH:D012892",1
"STR:space_flight","MeSH:D013026",1
"STR:stemcell","MeSH:D013234",1
"STR:mechanical_stress","MeSH:D013314",1
"STR:suspension","MeSH:D013535",1
"STR:vitiligo","MeSH:D014820",1
"STR:wart","MeSH:D014860",1
"STR:x_rays","MeSH:D014965",1
"STR:gastric_bypass","MeSH:D015390",1
"STR:glycation","MeSH:D015416",1
"STR:reperfusion","MeSH:D015424",1
"STR:hiv_1","MeSH:D015497",1
"STR:s_phase","MeSH:D016196",1
"STR:antiphospholipid_syndrome","MeSH:D016736",1
"STR:ischemic_heart_disease","MeSH:D017202",1
"STR:polymyositis","MeSH:D017285",1
"STR:gliosarcoma","MeSH:D018316",1
"STR:angiofibroma","MeSH:D018322",1
"STR:il12","MeSH:D018664",1
"STR:bioreactor","MeSH:D019149",1
"STR:epstein_barr_virus_infection","MeSH:D020031",1
"STR:irritable_bowel_syndrome","MeSH:D043183",1
"STR:cytokinesis","MeSH:D048749",1
"STR:prometaphase","MeSH:D049468",1
"STR:oncolytic_virus","MeSH:D050504",1
"STR:alpha_synuclein","MeSH:D051844",1
"STR:particulate_matter","MeSH:D052638",1
"STR:trophozoites","MeSH:D053058",1
"STR:acute_coronary_syndrome","MeSH:D054058",1
"STR:t_all","MeSH:D054218",1
"STR:vagus_nerve_stimulation","MeSH:D055536",1
"STR:hcov_nl63","MeSH:D058957",1
"STR:biosimilar","MeSH:D059451",1
"STR:telomere_shortening","MeSH:D059506",1
"STR:co_infection","MeSH:D060085",1
"STR:lipoblastoma","MeSH:D062689",1
"STR:neutrophil_extracellular_traps","MeSH:D065206",1
"STR:adenocarcinoma_in_situ","MeSH:D065311",1
"STR:in_vitro","MeSH:D066298",1
"STR:h5n1","NCBITaxon:102793",1
"STR:h7n9","NCBITaxon:333278",1
