"alias_innesco","agent_id","name","dict","n_gsm"
"loperamide","CHEBI:6532","loperamide","chebi",5
"ltb4","CHEBI:15647","leukotriene B<small><sub>4</sub></small>","chebi",5
"marizomib","CHEBI:48045","salinosporamide A","chebi",5
"mercaptopurine","CHEBI:50667","mercaptopurine","chebi",5
"mifepristone","CHEBI:50692","mifepristone","chebi",5
"mitotane","CHEBI:6954","Mitotane","chebi",5
"mocetinostat","CHEBI:197437","mocetinostat","chebi",5
"niclosamide","CHEBI:7553","niclosamide","chebi",5
"parp1","HGNC:270","PARP1","hgnc",5
"perifosine","CHEBI:67272","perifosine","chebi",5
"pevonedistat","CHEBI:145535","pevonedistat","chebi",5
"phenylephrine","CHEBI:8093","phenylephrine","chebi",5
"pirarubicin","CHEBI:94770","pirarubicin","chebi",5
"plinabulin","CHEBI:177413","plinabulin","chebi",5
"podofilox","CHEBI:50305","podophyllotoxin","chebi",5
"ppt","CHEBI:50305","podophyllotoxin","chebi",5
"probenecid","CHEBI:8426","probenecid","chebi",5
"prolactin","CHEBI:81580","Prolactin","chebi",5
"quinacrine","CHEBI:8711","quinacrine","chebi",5
"raf265","CHEBI:91451","CHIR-265","chebi",5
"raltitrexed","CHEBI:5847","ICI D1694","chebi",5
"ro4929097","CHEBI:86474","RO4929097","chebi",5
"rucaparib","CHEBI:134689","rucaparib","chebi",5
"scf","HGNC:6343","KITLG","immport",5
"silvestrol","CHEBI:66484","silvestrol","chebi",5
"tad","CHEBI:2659","aminophylline","chebi",5
"tariquidar","CHEBI:177609","Tariquidar","chebi",5
"tasisulam","CHEBI:231621","tasisulam","chebi",5
"telatinib","CHEBI:231351","telatinib","chebi",5
"tirapazamine","CHEBI:78887","tirapazamine","chebi",5
"torin1","CHEBI:84327","torin 1","chebi",5
"toyocamycin","CHEBI:134606","toyocamycin","chebi",5
"urea","CHEBI:16199","urea","chebi",5
"vismodegib","CHEBI:66903","vismodegib","chebi",5
"zibotentan","CHEBI:94573","zibotentan","chebi",5
"acf","CHEBI:191932","acetyl fluoride","chebi",4
"adriamycin","CHEBI:28748","doxorubicin","chebi",4
"akm","CHEBI:31255","bekanamycin sulfate","chebi",4
"albuterol","CHEBI:2549","albuterol","chebi",4
"amg208","CHEBI:90626","AMG-208","chebi",4
"anastrozole","CHEBI:2704","anastrozole","chebi",4
"aps","CHEBI:17709","5'-adenylyl sulfate","chebi",4
"astemizole","CHEBI:2896","astemizole","chebi",4
"atp","CHEBI:15422","ATP","chebi",4
"bendamustine","CHEBI:135515","bendamustine","chebi",4
"brivanib","CHEBI:167686","brivanib","chebi",4
"budesonide","CHEBI:3207","budesonide","chebi",4
"capsaicin","CHEBI:3374","capsaicin","chebi",4
"carmustine","CHEBI:3423","carmustine","chebi",4
"ccl26","HGNC:10625","CCL26","immport",4
"celastrol","CHEBI:63959","celastrol","chebi",4
"chrysin","CHEBI:75095","chrysin","chebi",4
"cnt","CHEBI:50594","carbon nanotube","chebi",4
"diltiazem","CHEBI:101278","diltiazem","chebi",4
"dms","CHEBI:17437","dimethyl sulfide","chebi",4
"dpn","MeSH:D009243","NAD","mesh",4
"elesclomol","CHEBI:79369","elesclomol","chebi",4
"epinephrine","CHEBI:28918","(<i>R</i>)-adrenaline","chebi",4
"erdafitinib","CHEBI:232556","Erdafitinib","chebi",4
"estramustine","CHEBI:4868","estramustine","chebi",4
"eto","CHEBI:27561","oxirane","chebi",4
"etomoxir","CHEBI:232547","etomoxir","chebi",4
"exemestane","CHEBI:4953","exemestane","chebi",4
"ffa","CHEBI:42638","flufenamic acid","chebi",4
"fk506","CHEBI:61049","tacrolimus (anhydrous)","chebi",4
"furosemide","CHEBI:47426","furosemide","chebi",4
"geldanamycin","CHEBI:5292","geldanamycin","chebi",4
"gossypol","CHEBI:28584","gossypol","chebi",4
"guadecitabine","CHEBI:231603","guadecitabine","chebi",4
"ibmx","CHEBI:34795","3-isobutyl-1-methyl-7<em>H</em>-xanthine","chebi",4
"icaritin","CHEBI:201674","icaritin","chebi",4
"il18","HGNC:5986","IL18","immport",4
"il33","HGNC:16028","IL33","immport",4
"ilt","HGNC:5977","IL15","immport",4
"indole","CHEBI:16881","1<em>H</em>-indole","chebi",4
"ipilimumab","CHEBI:231679","ipilimumab","chebi",4
"ixabepilone","CHEBI:63605","ixabepilone","chebi",4
"ixazomib","CHEBI:90942","ixazomib","chebi",4
"leuprolide","CHEBI:6427","leuprolide","chebi",4
"lidocaine","CHEBI:6456","lidocaine","chebi",4
"lipopolysaccharide","CHEBI:16412","lps","chebi",4
"lisinopril","CHEBI:6503","lisinopril dihydrate","chebi",4
"lp","HGNC:6667","LPA","hgnc",4
"lps","CHEBI:16412","lps ( )","chebi",4
"lupeol","CHEBI:6570","lupeol","chebi",4
"mek","CHEBI:28398","butan-2-one","chebi",4
"mesotrione","CHEBI:38321","mesotrione","chebi",4
"mithramycin","CHEBI:31856","mithramycin","chebi",4
"mln2480","CHEBI:167672","TAK-580","chebi",4
"mrna","CHEBI:33699","messenger RNA","chebi",4
"mtx","CHEBI:44185","methotrexate","chebi",4
"naltrexone","CHEBI:7465","naltrexone","chebi",4
"nmn","CHEBI:16171","NMN zwitterion","chebi",4
"nmp","CHEBI:7307","<em>N</em>-methylpyrrolidin-2-one","chebi",4
"ouabain","CHEBI:145798","ouabain(1−)","chebi",4
"oxa","CHEBI:53076","4-(ethoxymethylene)-2-phenyloxazol-5-one","chebi",4
"pazopanib","CHEBI:71219","pazopanib","chebi",4
"pentostatin","CHEBI:27834","pentostatin","chebi",4
"plx4032","CHEBI:63637","vemurafenib","chebi",4
"pomiferin","CHEBI:8329","Pomiferin","chebi",4
"procarbazine","CHEBI:71417","procarbazine","chebi",4
"pyrimethamine","CHEBI:8673","pyrimethamine","chebi",4
"pyrvinium","CHEBI:8687","pyrvinium","chebi",4
"quisinostat","CHEBI:94771","quisinostat","chebi",4
"resminostat","CHEBI:231352","resminostat","chebi",4
"ru486","CHEBI:50692","mifepristone","chebi",4
"salinomycin","CHEBI:80025","Salinomycin","chebi",4
"satraplatin","CHEBI:85609","satraplatin","chebi",4
"shh","CHEBI:45716","vorinostat","chebi",4
"sonidegib","CHEBI:90863","sonidegib","chebi",4
"sotalol","CHEBI:63622","sotalol","chebi",4
"suloctidil","CHEBI:233445","(±)-suloctidil","chebi",4
"tacedinaline","CHEBI:90195","tacedinaline","chebi",4
"talampanel","CHEBI:34992","Talampanel","chebi",4
"tasquinimod","CHEBI:231355","tasquinimod","chebi",4
"teniposide","CHEBI:75988","teniposide","chebi",4
"tepa","CHEBI:49798","tetraethylenepentamine","chebi",4
"thioguanine","CHEBI:9555","tioguanine","chebi",4
"thiotepa","CHEBI:9570","Thiotepa","chebi",4
"tivozanib","CHEBI:91327","tivozanib","chebi",4
"tnt","CHEBI:27135","trinitrotoluene","chebi",4
"tolbutamide","CHEBI:27999","tolbutamide","chebi",4
"toremifene","CHEBI:9635","toremifene","chebi",4
"trehalose","CHEBI:16551","α,α-trehalose","chebi",4
"triapine","CHEBI:231347","triapine","chebi",4
"triciribine","CHEBI:65310","triciribine","chebi",4
"tsa","HGNC:9353","PRDX2","hgnc",4
"vadimezan","CHEBI:75934","vadimezan","chebi",4
"acc","CHEBI:18053","1-aminocyclopropanecarboxylic acid","chebi",3
"acetate","CHEBI:30089","acetate","chebi",3
"alvocidib","CHEBI:47344","alvocidib","chebi",3
"anisomycin","CHEBI:338412","(−)-anisomycin","chebi",3
"apolipoprotein","CHEBI:39015","apolipoprotein","chebi",3
"apremilast","CHEBI:78540","apremilast","chebi",3
"aprepitant","CHEBI:499361","aprepitant","chebi",3
"arecoline","CHEBI:2814","arecoline","chebi",3
"ascorbate","CHEBI:38290","<small>L</small>-ascorbate","chebi",3
"atrasentan","CHEBI:135810","atrasentan","chebi",3
"bci","CHEBI:143126","(2<i>E</i>)-2-benzylidene-3-(cyclohexylamino)indan-1-one","chebi",3
"bosentan","CHEBI:51450","bosentan","chebi",3
"brigatinib","CHEBI:232810","brigatinib","chebi",3
"bufexamac","CHEBI:31317","bufexamac","chebi",3
"caffeine","CHEBI:27732","caffeine","chebi",3
"canertinib","CHEBI:61399","canertinib","chebi",3
"cantharidin","CHEBI:64213","cantharidin","chebi",3
"capivasertib","CHEBI:229222","capivasertib","chebi",3
"ciclopirox","CHEBI:453011","ciclopirox","chebi",3
"cilengitide","CHEBI:177833","cilengitide","chebi",3
"cntf","HGNC:2169","CNTF","hgnc",3
"cp724714","CHEBI:167658","CP-724714","chebi",3
"cpi613","CHEBI:233197","devimistat","chebi",3
"cyclocreatine","CHEBI:229254","Cyclocreatine","chebi",3
"cyt387","CHEBI:91407","momelotinib","chebi",3
"dab","CHEBI:90994","3,3'-diaminobenzidine","chebi",3
"dacarbazine","CHEBI:4305","dacarbazine","chebi",3
"daclatasvir","CHEBI:82977","daclatasvir","chebi",3
"dactinomycin","CHEBI:27666","actinomycin D","chebi",3
"darunavir","CHEBI:367163","darunavir","chebi",3
"deferoxamine","CHEBI:4356","desferrioxamine B","chebi",3
"dihydroartemisinin","CHEBI:135921","β-dihydroartemisinin","chebi",3
"dimethylamine","CHEBI:17170","dimethylamine","chebi",3
"dithranol","CHEBI:37510","anthralin","chebi",3
"dmf","CHEBI:17741","<em>N</em>,<em>N</em>-dimethylformamide","chebi",3
"doc","CHEBI:16973","11-deoxycorticosterone","chebi",3
"dorsomorphin","CHEBI:78510","dorsomorphin","chebi",3
"doxorubicine","CHEBI:28748","doxorubicin","chebi",3
"dpn","CHEBI:15846","NAD<small><sup>+</small></sup>","chebi",3
"eniluracil","CHEBI:177783","eniluracil","chebi",3
"entrectinib","CHEBI:195558","entrectinib","chebi",3
"fentanyl","CHEBI:119915","fentanyl","chebi",3
"fisetin","CHEBI:42567","fisetin","chebi",3
"floxuridine","CHEBI:60761","floxuridine","chebi",3
"flubendazole","CHEBI:77095","flubendazole","chebi",3
"galeterone","CHEBI:177536","Galeterone","chebi",3
"gdc0941","CHEBI:65326","pictrelisib","chebi",3
"glasdegib","CHEBI:145428","glasdegib","chebi",3
"glc","CHEBI:17234","glucose","chebi",3
"harmine","CHEBI:28121","harmine","chebi",3
"honokiol","CHEBI:5759","Honokiol","chebi",3
"hypericin","CHEBI:5835","hypericin","chebi",3
"idebenone","CHEBI:31687","idebenone","chebi",3
"ifna8","HGNC:5427","IFNA6","immport",3
"inosine","CHEBI:17596","inosine","chebi",3
"iso","CHEBI:167830","isorhapontigenin","chebi",3
"isoxaflutole","CHEBI:141213","isoxaflutole","chebi",3
"karanjin","CHEBI:166631","Karanjin","chebi",3
"kl1","HGNC:6343","KITLG","immport",3
"ky","HGNC:26576","KY","hgnc",3
"l3","HGNC:10332","RPL3","hgnc",3
"lactacystin","CHEBI:52722","lactacystin","chebi",3
"lcl161","CHEBI:193137","LCL161","chebi",3
"letrozole","CHEBI:6413","letrozole","chebi",3
"lna","CHEBI:48010","locked nucleic acid","chebi",3
"losartan","CHEBI:6541","losartan","chebi",3
"lps","CHEBI:16412","lps ( ) .","chebi",3
"lysine","CHEBI:18019","<small>L</small>-lysine","chebi",3
"menadione","CHEBI:28869","menadione","chebi",3
"merrf","MeSH:D017243","MERRF Syndrome","mesh",3
"methadone","CHEBI:6807","methadone","chebi",3
"methamphetamine","CHEBI:6809","methamphetamine","chebi",3
"methanol","CHEBI:17790","methanol","chebi",3
"metyrapone","CHEBI:44241","metyrapone","chebi",3
"mitoq","CHEBI:234429","mitoquinone mesylate","chebi",3
"mk","HGNC:11905","TNFRSF10B","immport",3
"mnp","CHEBI:139554","magnetic nanoparticle","chebi",3
"nicotine","CHEBI:17688","(<i>S</i>)-nicotine","chebi",3
"nifurtimox","CHEBI:7566","Nifurtimox","chebi",3
"nimodipine","CHEBI:7575","nimodipine","chebi",3
"nmda","CHEBI:6121","ketamine","chebi",3
"oestradiol","CHEBI:23965","estradiol","chebi",3
"oleandrin","CHEBI:59030","oleandrin","chebi",3
"onalespib","CHEBI:140592","onalespib","chebi",3
"oxamate","CHEBI:18058","oxamic acid","chebi",3
"oxyquinoline","CHEBI:48981","quinolin-8-ol","chebi",3
"patient","MeSH:D010361","Patients","mesh",3
"pd0332991","CHEBI:85993","palbociclib","chebi",3
"pemetrexed","CHEBI:63616","pemetrexed","chebi",3
"pendimethalin","CHEBI:83569","pendimethalin","chebi",3
"pipobroman","CHEBI:8242","pipobroman","chebi",3
"pixantrone","CHEBI:135945","pixantrone","chebi",3
"plerixafor","CHEBI:125354","plerixafor","chebi",3
"proscillaridin","CHEBI:32065","Proscillaridin","chebi",3
"prostaglandin","CHEBI:26333","prostaglandin","chebi",3
"purmorphamine","CHEBI:63053","purmorphamine","chebi",3
"raloxifene","CHEBI:8772","raloxifene","chebi",3
"rela","HGNC:9955","RELA","hgnc",3
"retinol","CHEBI:17336","<i>all</i>-<i>trans</i>-retinol","chebi",3
"s1p","CHEBI:37550","sphingosine 1-phosphate","chebi",3
"sanguinarine","CHEBI:17183","sanguinarine","chebi",3
"savolitinib","CHEBI:231369","savolitinib","chebi",3
"sertraline","CHEBI:9123","sertraline","chebi",3
"sevoflurane","CHEBI:9130","sevoflurane","chebi",3
"sotrastaurin","CHEBI:90531","sotrastaurin","chebi",3
"spermidine","CHEBI:16610","spermidine","chebi",3
"tacrolimus","CHEBI:61049","tacrolimus (anhydrous)","chebi",3
"tak733","CHEBI:231366","TAK-733","chebi",3
"tandutinib","CHEBI:90237","tandutinib","chebi",3
"tesamorelin","CHEBI:63626","tesamorelin","chebi",3
"tibolone","CHEBI:32223","tibolone","chebi",3
"tipifarnib","CHEBI:141969","tipifarnib","chebi",3
"tretinoin","CHEBI:15367","<i>all</i>-<i>trans</i>-retinoic acid","chebi",3
"tsp1","HGNC:11785","THBS1","hgnc",3
"uracil","CHEBI:17568","uracil","chebi",3
"val","CHEBI:16414","<small>L</small>-valine","chebi",3
"vinblastine","CHEBI:27375","vincaleukoblastine","chebi",3
"vindesine","CHEBI:36373","vindesine","chebi",3
"a20","HGNC:5735","IGKV1-27","hgnc",2
"aa","CHEBI:15843","arachidonic acid","chebi",2
"abexinostat","CHEBI:92223","abexinostat","chebi",2
"acalabrutinib","CHEBI:167707","acalabrutinib","chebi",2
"ach","HGNC:3690","FGFR3","hgnc",2
"aciclovir","CHEBI:2453","acyclovir","chebi",2
"act","HGNC:16","SERPINA3","uniprot",2
"adenovirus","NCBITaxon:10535","unidentifiedadenovirus","taxonomy",2
"adiponectin","CHEBI:81572","adiponectin","chebi",2
"altretamine","CHEBI:24564","hexamethylmelamine","chebi",2
"aminopterin","CHEBI:22526","4-aminofolic acid","chebi",2
"antiandrogen","CHEBI:35497","androgen antagonist","chebi",2
"apilimod","CHEBI:230506","apilimod","chebi",2
"arg","CHEBI:16467","<small>L</small>-arginine","chebi",2
"at13387","CHEBI:140592","onalespib","chebi",2
"at7519","CHEBI:91326","4-(2,6-dichlorobenzamido)-<em>N</em>-(piperidin-4-yl)-pyrazole-3-carboxamide","chebi",2
"atenolol","CHEBI:2904","atenolol","chebi",2
"atg101","HGNC:25679","ATG101","hgnc",2
"atovaquone","CHEBI:575568","atovaquone","chebi",2
"auranofin","CHEBI:2922","auranofin","chebi",2
"berberine","CHEBI:16118","berberine","chebi",2
"bet","CHEBI:17750","glycine betaine","chebi",2
"bezafibrate","CHEBI:47612","bezafibrate","chebi",2
"bg","HGNC:616","APOH","hgnc",2
"bi2536","CHEBI:49868","BI-2536","chebi",2
"bicalutamide","CHEBI:3090","bicalutamide","chebi",2
"biib021","CHEBI:90687","BIIB021","chebi",2
"bilirubin","CHEBI:16990","bilirubin IXα","chebi",2
"bix","CHEBI:85310","2-(3,4-dihydroxyphenyl)-2-oxoethyl thiocyanate","chebi",2
"bor","CHEBI:27560","boron atom","chebi",2
"bpde","CHEBI:30614","benzo[<em>a</em>]pyrene diol epoxide I","chebi",2
"broxaldine","CHEBI:232618","broxaldine","chebi",2
"bru","CHEBI:20553","5-bromouridine","chebi",2
"btc","CHEBI:746958","benzothiazolylcysteine zwitterion","chebi",2
"bumetanide","CHEBI:3213","bumetanide","chebi",2
"c10","CHEBI:87148","(<i>Z</i>)-13-methyltetradec-2-enoic acid","chebi",2
"c5a","HGNC:1331","C5","hgnc",2
"cabazitaxel","CHEBI:63584","cabazitaxel","chebi",2
"cabergoline","CHEBI:3286","cabergoline","chebi",2
"calcipotriene","CHEBI:50749","calcipotriol","chebi",2
"calcipotriol","CHEBI:50749","calcipotriol","chebi",2
"carbocyanine","CHEBI:52218","pinacyanol iodide","chebi",2
"carmofur","CHEBI:31360","Carmofur","chebi",2
"carnosol","CHEBI:3429","Carnosol","chebi",2
"cd40l","HGNC:11935","CD40LG","immport",2
"ceftriaxone","CHEBI:29007","ceftriaxone","chebi",2
"ceramide","CHEBI:17761","ceramide","chebi",2
"cerulenin","CHEBI:171741","cerulenin","chebi",2
"chetomin","CHEBI:68741","chetomin","chebi",2
"cholesterol","CHEBI:16113","cholesterol","chebi",2
"cinacalcet","CHEBI:48390","cinacalcet","chebi",2
"corin","CHEBI:232604","Corin","chebi",2
"creatine","CHEBI:16919","creatine","chebi",2
"csa","CHEBI:55379","camphorsulfonic acid","chebi",2
"ctx","CHEBI:3498","cefotaxime sodium","chebi",2
"cyproterone","CHEBI:50742","cyproterone","chebi",2
"dbcamp","CHEBI:50095","bucladesine","chebi",2
"dca","CHEMBL:CHEMBL306823","SODIUM DICHLOROACETATE","chembl",2
"dehp","CHEBI:17747","bis(2-ethylhexyl) phthalate","chebi",2
"dhodh","HGNC:2867","DHODH","hgnc",2
"diosmetin","CHEBI:4630","diosmetin","chebi",2
"dipyridamole","CHEBI:4653","dipyridamole","chebi",2
"dobutamine","CHEBI:4670","dobutamine","chebi",2
"don","CHEBI:10022","deoxynivalenol","chebi",2
"elaiophylin","CHEBI:77879","elaiophylin","chebi",2
"elvitegravir","CHEBI:72289","elvitegravir","chebi",2
"emb","CHEBI:4877","ethambutol","chebi",2
"enalapril","CHEBI:4784","enalapril","chebi",2
"epa","CHEBI:28364","<i>all</i>-<i>cis</i>-5,8,11,14,17-icosapentaenoic acid","chebi",2
"epcam","HGNC:11529","EPCAM","immport",2
"etomidate","CHEBI:4910","etomidate","chebi",2
"evodiamine","CHEBI:4948","Evodiamine","chebi",2
"fad","MeSH:D005182","Flavin-Adenine Dinucleotide","mesh",2
"fenbendazole","CHEBI:77092","fenbendazole","chebi",2
"finasteride","CHEBI:5062","finasteride","chebi",2
"fludrocortisone","CHEBI:50885","fludrocortisone","chebi",2
"fotemustine","CHEBI:131848","fotemustine","chebi",2
"galunisertib","CHEBI:137064","LY-2157299","chebi",2
"glimepiride","CHEBI:5383","glimepiride","chebi",2
"glucuronide","CHEBI:15341","β-<small>D</small>-glucosiduronic acid","chebi",2
"gsk1120212","CHEBI:75991","trametinib dimethyl sulfoxide","chebi",2
"gsk690693","CHEBI:90677","GSK690693","chebi",2
"hem","CHEBI:30413","heme","chebi",2
"ifosfamide","CHEBI:5864","ifosfamide","chebi",2
"il5","HGNC:6016","IL5","immport",2
"il7","HGNC:6023","IL7","immport",2
"il9","HGNC:6029","IL9","immport",2
"imipramine","CHEBI:47499","imipramine","chebi",2
"inc280","CHEBI:231693","capmatinib","chebi",2
"indirubin","CHEBI:183083","indirubin","chebi",2
"isorhamnetin","CHEBI:6052","isorhamnetin","chebi",2
"ketamine","CHEBI:6121","ketamine","chebi",2
"ketotifen","CHEBI:92511","ketotifen","chebi",2
"kinetin","CHEBI:27407","kinetin","chebi",2
"lasofoxifene","CHEBI:135938","lasofoxifene","chebi",2
"ldl","CHEBI:39026","low-density lipoprotein","chebi",2
"leucovorin","CHEBI:15640","5-formyltetrahydrofolic acid","chebi",2
"levofloxacin","CHEBI:63598","levofloxacin","chebi",2
"ley","CHEBI:140912","Lewis Y antigen","chebi",2
"lonafarnib","CHEBI:47097","lonafarnib","chebi",2
"lps","HGNC:6121","IRF6","hgnc",2
"mannitol","CHEBI:16899","<small>D</small>-mannitol","chebi",2
"mannose","CHEBI:37684","mannose","chebi",2
"map","CHEBI:6716","medroxyprogesterone acetate","chebi",2
"megestrol","CHEBI:6722","megestrol","chebi",2
"met","CHEBI:16044","<small>L</small>-methionine residue","chebi",2
"methyleugenol","CHEBI:4918","<em>O</em>-methyleugenol","chebi",2
"mgo","CHEBI:31794","magnesium oxide","chebi",2
"mibefradil","CHEBI:6920","Mibefradil","chebi",2
"mk1775","CHEBI:91414","adavosertib","chebi",2
"mmc","CHEBI:27504","mitomycin C","chebi",2
"mns","CHEBI:137270","Met-Asn-Ser","chebi",2
"monensin","CHEBI:27617","monensin A","chebi",2
"morphine","CHEBI:17303","morphine","chebi",2
"motesanib","CHEBI:51098","motesanib","chebi",2
"msp","HGNC:7380","MST1","immport",2
"mta","CHEBI:17509","5'-<em>S</em>-methyl-5'-thioadenosine","chebi",2
"mubritinib","CHEBI:233310","Mubritinib","chebi",2
"naa","CHEBI:21547","<em>N</em>-acetyl-<small>L</small>-aspartic acid","chebi",2
"navitoclax","CHEBI:131174","navitoclax","chebi",2
"nbs","CHEBI:53174","<em>N</em>-bromosuccinimide","chebi",2
"nelarabine","CHEBI:63612","nelarabine","chebi",2
"nigericin","CHEBI:7569","nigericin","chebi",2
"nortriptyline","CHEBI:7640","nortriptyline","chebi",2
"nrf2","HGNC:4071","GABPA","hgnc",2
"ns1","CHEBI:81640","Envelope glycoprotein E2","chebi",2
"oligonucleotide","CHEBI:7754","oligonucleotide","chebi",2
"omeprazole","CHEBI:7772","omeprazole","chebi",2
"omipalisib","CHEBI:95093","omipalisib","chebi",2
"onc201","CHEBI:232328","dordaviprone","chebi",2
"opg","CHEBI:63300","osmoregulated periplasmic glucan","chebi",2
"oprozomib","CHEBI:747352","oprozomib","chebi",2
"oxalate","CHEBI:30623","oxalate(2−)","chebi",2
"oxt","CHEBI:7872","oxytocin","chebi",2
"oxytocin","CHEBI:7872","oxytocin","chebi",2
"paa","CHEBI:42530","peracetic acid","chebi",2
"pam","CHEBI:45021","palmitoyl group","chebi",2
"parbendazole","CHEBI:94267","parbendazole","chebi",2
"paromomycin","CHEBI:7934","paromomycin","chebi",2
"pca","CHEBI:36751","pyrrole-2-carboxylic acid","chebi",2
"penicillamine","CHEBI:7959","<small>D</small>-penicillamine","chebi",2
"pharmaceuticals","CHEBI:52217","pharmaceutical","chebi",2
"phenanthrene","CHEBI:28851","phenanthrene","chebi",2
"phenelzine","CHEBI:8060","Phenelzine","chebi",2
"phenobarbital","CHEBI:8069","phenobarbital","chebi",2
"phosphatidylserine","CHEBI:18303","phosphatidyl-<small>L</small>-serine","chebi",2
"pi","HGNC:8941","SERPINA1","hgnc",2
"pic","CHEBI:53806","phenyl isocyanate","chebi",2
"pirfenidone","CHEBI:32016","pirfenidone","chebi",2
"podophyllotoxin","CHEBI:50305","podophyllotoxin","chebi",2
"polyamide","CHEBI:53224","poly(amide) macromolecule","chebi",2
"pralatrexate","CHEBI:71223","pralatrexate","chebi",2
"prednisolone","CHEBI:8378","prednisolone","chebi",2
"prinomastat","CHEBI:138885","prinomastat","chebi",2
"prl","CHEBI:81580","Prolactin","chebi",2
"pro","CHEBI:50342","<small>L</small>-proline residue","chebi",2
"prostratin","CHEBI:69818","prostratin","chebi",2
"raltegravir","CHEBI:82960","raltegravir","chebi",2
"rest","CHEBI:24433","group","chebi",2
"reversine","CHEBI:70723","reversine","chebi",2
"rg7388","CHEBI:232616","Idasanutlin","chebi",2
"rh","HGNC:10008","RHCE","hgnc",2
"rx","HGNC:18662","RAX","hgnc",2
"sol","MeSH:D019904","Polymethyl Methacrylate","mesh",2
"sts","CHEBI:15738","staurosporine","chebi",2
"sulpiride","CHEBI:32168","sulpiride","chebi",2
"tc","HGNC:2665","CD55","hgnc",2
"tcm","CHEBI:145500","thiencarbazone-methyl","chebi",2
"tempol","CHEBI:180664","4-hydroxy-TEMPO","chebi",2
"temsirolimus","CHEBI:79699","Temsirolimus","chebi",2
"tepoxalin","CHEBI:76277","tepoxalin","chebi",2
"teriflunomide","CHEBI:68540","teriflunomide","chebi",2
"thiostrepton","CHEBI:29693","thiostrepton","chebi",2
"ticlopidine","CHEBI:9588","ticlopidine","chebi",2
"tioguanine","CHEBI:9555","tioguanine","chebi",2
"tobramycin","CHEBI:28864","tobramycin","chebi",2
"trac","HGNC:12029","TRAC","hgnc",2
"triac","CHEBI:40021","tiratricol","chebi",2
"trifluridine","CHEBI:75179","trifluridine","chebi",2
"trimethoprim","CHEBI:45924","trimethoprim","chebi",2
"tyrosine","CHEBI:17895","<small>L</small>-tyrosine","chebi",2
"vancomycin","CHEBI:28001","vancomycin","chebi",2
"vatalanib","CHEBI:90620","vatalanib","chebi",2
"verteporfin","CHEBI:32293","verteporfin","chebi",2
"vinorelbine","CHEBI:480999","vinorelbine","chebi",2
"viread","CHEBI:63718","tenofovir disoproxil fumarate","chebi",2
"warfarin","CHEBI:10033","warfarin","chebi",2
"wiskostatin","CHEBI:78008","wiskostatin","chebi",2
"wogonin","CHEBI:10043","wogonin","chebi",2
"17aag","CHEBI:64153","tanespimycin","chebi",1
"5d4","CHEBI:233312","TopBP1-IN-1","chebi",1
"a10","HGNC:5837","IGKV6D-21","hgnc",1
"abe","CHEBI:27778","abequose","chebi",1
"acamprosate","CHEBI:51041","acamprosate","chebi",1
"acetazolamide","CHEBI:27690","acetazolamide","chebi",1
"acetone","CHEBI:15347","acetone","chebi",1
"aclarubicin","CHEBI:74619","aclacinomycin A","chebi",1
"ada","CHEBI:39048","ADA","chebi",1
"adiponectin","HGNC:13633","ADIPOQ","hgnc",1
"aed","CHEBI:40594","5-[(2-acetamidoethyl)amino]naphthalene-1-sulfonic acid","chebi",1
"agarose","CHEBI:2511","agarose","chebi",1
"alcohol","CHEBI:16236","ethanol","chebi",1
"aldesleukin","HGNC:6001","IL2","immport",1
"aldoxorubicin","CHEBI:231680","aldoxorubicin","chebi",1
"alexidine","CHEBI:53661","alexidine","chebi",1
"alprostadil","CHEBI:15544","prostaglandin E<small><sub>1</sub></small>","chebi",1
"alsterpaullone","CHEBI:138488","alsterpaullone","chebi",1
"amikacin","CHEBI:2637","amikacin","chebi",1
"amiloride","CHEBI:2639","amiloride","chebi",1
"aminacrine","CHEBI:74789","9-aminoacridine","chebi",1
"amisulpride","CHEBI:64045","amisulpride","chebi",1
"amrubicin","CHEBI:135779","amrubicin","chebi",1
"angiotensin","CHEBI:2719","Ile<small><sup>5</small></sup>-angiotensin II","chebi",1
"anle138b","CHEBI:232606","Anle138b","chebi",1
"aph","CHEBI:228483","APH","chebi",1
"apigenin","CHEBI:18388","apigenin","chebi",1
"apocynin","CHEBI:2781","apocynin","chebi",1
"ari","CHEBI:35640","adrenergic uptake inhibitor","chebi",1
"ars","HGNC:18746","SLURP1","hgnc",1
"artenimol","CHEBI:135921","β-dihydroartemisinin","chebi",1
"artesunate","CHEBI:63918","artesunate","chebi",1
"asa","CHEBI:15365","acetylsalicylic acid","chebi",1
"asn","CHEBI:17196","<small>L</small>-asparagine","chebi",1
"asunaprevir","CHEBI:134723","asunaprevir","chebi",1
"atx","CHEBI:80716","aplysiatoxin","chebi",1
"aurothioglucose","CHEBI:2930","aurothioglucose","chebi",1
"b1","HGNC:7315","MS4A1","hgnc",1
"baicalein","CHEBI:2979","baicalein","chebi",1
"bap1","HGNC:950","BAP1","hgnc",1
"barasertib","CHEBI:167636","AZT-1152","chebi",1
"bardoxolone","CHEBI:177450","Bardoxolone","chebi",1
"bez235","CHEBI:71952","dactolisib","chebi",1
"bi6727","CHEBI:231358","volasertib","chebi",1
"biperiden","CHEBI:3112","biperiden","chebi",1
"birabresib","CHEBI:230508","birabresib","chebi",1
"bronopol","CHEBI:31306","Bronopol","chebi",1
