"alias","agent_id","name","dict","n_gsm","n_studi_alias","C1_unita","C2_collisione","C3_non_attestata","C4_sigla"
"il9","HGNC:6029","IL9","immport",2,1,FALSE,TRUE,FALSE,FALSE
"ire1","HGNC:3449","ERN1","hgnc",2,0,FALSE,FALSE,FALSE,TRUE
"itac","HGNC:10638","CXCL11","immport",2,0,FALSE,FALSE,FALSE,TRUE
"ldl","CHEBI:39026","low-density lipoprotein","chebi",2,1,FALSE,FALSE,FALSE,TRUE
"ley","CHEBI:140912","Lewis Y antigen","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"lps","HGNC:6121","IRF6","hgnc",2,54,FALSE,TRUE,TRUE,TRUE
"map","CHEBI:6716","medroxyprogesterone acetate","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"met","CHEBI:16044","<small>L</small>-methionine residue","chebi",2,2,FALSE,TRUE,FALSE,TRUE
"mgo","CHEBI:31794","magnesium oxide","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"mll1","HGNC:7132","KMT2A","hgnc",2,2,FALSE,FALSE,FALSE,TRUE
"mmc","CHEBI:27504","mitomycin C","chebi",2,1,FALSE,FALSE,FALSE,TRUE
"mns","CHEBI:137270","Met-Asn-Ser","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"msp","HGNC:7380","MST1","immport",2,0,FALSE,TRUE,FALSE,TRUE
"mta","CHEBI:17509","5'-<em>S</em>-methyl-5'-thioadenosine","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"naa","CHEBI:21547","<em>N</em>-acetyl-<small>L</small>-aspartic acid","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"nbs","CHEBI:53174","<em>N</em>-bromosuccinimide","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"ndma","CHEBI:59990","<em>N</em>,<em>N</em>-dimethyl-4-nitrosoaniline","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"nrf2","HGNC:4071","GABPA","hgnc",2,1,FALSE,FALSE,FALSE,TRUE
"ns1","CHEBI:81640","Envelope glycoprotein E2","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"oligonucleotide","CHEBI:7754","oligonucleotide","chebi",2,1,FALSE,TRUE,FALSE,FALSE
"opg","CHEBI:63300","osmoregulated periplasmic glucan","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"oxalate","CHEBI:30623","oxalate(2−)","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"oxt","CHEBI:7872","oxytocin","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"paa","CHEBI:42530","peracetic acid","chebi",2,1,FALSE,FALSE,FALSE,TRUE
"pam","CHEBI:45021","palmitoyl group","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"pca","CHEBI:36751","pyrrole-2-carboxylic acid","chebi",2,5,FALSE,TRUE,FALSE,TRUE
"pfcs","CHEBI:134091","perfluorinated compound","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"pharmaceuticals","CHEBI:52217","pharmaceutical","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"phosphatidylserine","CHEBI:18303","phosphatidyl-<small>L</small>-serine","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"pi","HGNC:8941","SERPINA1","hgnc",2,2,FALSE,TRUE,FALSE,TRUE
"pic","CHEBI:53806","phenyl isocyanate","chebi",2,1,FALSE,TRUE,FALSE,TRUE
"polyamide","CHEBI:53224","poly(amide) macromolecule","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"prl","CHEBI:81580","Prolactin","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"pro","CHEBI:50342","<small>L</small>-proline residue","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"raltegravir","CHEBI:82960","raltegravir","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"rest","CHEBI:24433","group","chebi",2,2,FALSE,TRUE,FALSE,TRUE
"rh","HGNC:10008","RHCE","hgnc",2,0,FALSE,TRUE,FALSE,TRUE
"rx","HGNC:18662","RAX","hgnc",2,0,FALSE,TRUE,FALSE,TRUE
"sol","MeSH:D019904","Polymethyl Methacrylate","mesh",2,0,FALSE,FALSE,FALSE,TRUE
"spt5","HGNC:11469","SUPT5H","hgnc",2,0,FALSE,FALSE,FALSE,TRUE
"sts","CHEBI:15738","staurosporine","chebi",2,2,FALSE,TRUE,FALSE,TRUE
"tc","HGNC:2665","CD55","hgnc",2,1,FALSE,TRUE,FALSE,TRUE
"tcm","CHEBI:145500","thiencarbazone-methyl","chebi",2,2,FALSE,FALSE,FALSE,TRUE
"tioguanine","CHEBI:9555","tioguanine","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"viread","CHEBI:63718","tenofovir disoproxil fumarate","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"wart","MeSH:D014860","Warts","mesh",2,1,FALSE,FALSE,FALSE,TRUE
"xenograft","MeSH:D064593","Heterografts","mesh",2,36,FALSE,FALSE,TRUE,FALSE
"5d4","CHEBI:233312","TopBP1-IN-1","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"a10","HGNC:5837","IGKV6D-21","hgnc",1,2,FALSE,FALSE,FALSE,TRUE
"abe","CHEBI:27778","abequose","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"adiponectin","HGNC:13633","ADIPOQ","hgnc",1,0,FALSE,TRUE,FALSE,FALSE
"aed","CHEBI:40594","5-[(2-acetamidoethyl)amino]naphthalene-1-sulfonic acid","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"afmk","CHEBI:28613","Formyl-N-acetyl-5-methoxykynurenamine","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"agarose","CHEBI:2511","agarose","chebi",1,1,FALSE,TRUE,FALSE,FALSE
"angiotensin","CHEBI:2719","Ile<small><sup>5</small></sup>-angiotensin II","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"ant1","HGNC:10990","SLC25A4","hgnc",1,0,FALSE,FALSE,FALSE,TRUE
"ari","CHEBI:35640","adrenergic uptake inhibitor","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"ars","HGNC:18746","SLURP1","hgnc",1,0,FALSE,FALSE,FALSE,TRUE
"asa","CHEBI:15365","acetylsalicylic acid","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"asn","CHEBI:17196","<small>L</small>-asparagine","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"atx","CHEBI:80716","aplysiatoxin","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"b1","HGNC:7315","MS4A1","hgnc",1,3,FALSE,FALSE,FALSE,TRUE
"bv6","CHEBI:47924","<em>N</em>,<em>N</em>'-(hexane-1,6-diyl)bis(1-{(2<i>S</i>)-2-cyclohexyl-2-[(<em>N</em>-methyl-<small>L</small>-alanyl)amino]acetyl}-<small>L</small>-prolyl-β-phenyl-<small>L</small>-phenylalaninamide)","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"cbz","CHEBI:51097","benzyloxycarbonyl group","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"ceg","CHEBI:34613","cefaloglycin","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"cona","CHEBI:232423","concanavalin A","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"corticosteroid","CHEBI:50858","corticosteroid","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"cpa","CHEBI:165821","CpA","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"cr","HGNC:2665","CD55","hgnc",1,2,FALSE,TRUE,FALSE,TRUE
"cxcl10","HGNC:10637","CXCL10","immport",1,0,FALSE,TRUE,FALSE,FALSE
"cxcl9","HGNC:7098","CXCL9","immport",1,0,FALSE,TRUE,FALSE,FALSE
"dcis","MeSH:D002285","Carcinoma, Intraductal, Noninfiltrating","mesh",1,2,FALSE,FALSE,FALSE,TRUE
"def","CHEBI:38737","tribufos","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"dfo","CHEBI:4356","desferrioxamine B","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"dic","CHEBI:4305","dacarbazine","chebi",1,1,FALSE,TRUE,FALSE,TRUE
"dim","CHEBI:50182","3,3'-diindolylmethane","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"dmso","MeSH:D004121","Dimethyl Sulfoxide","mesh",1,381,FALSE,FALSE,TRUE,TRUE
"dpt","CHEBI:39161","1,1,1-trichloro-2,2-diphenylethane","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"dsf","CHEBI:81585","cis-11-Methyl-2-dodecenoic acid","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"esp","HGNC:6016","IL5","immport",1,0,FALSE,TRUE,FALSE,TRUE
"fingolimod","CHEBI:63115","fingolimod","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"fluoride","CHEBI:17051","fluoride","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"ftc","CHEBI:173106","ferroptocide","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"fumarate","CHEBI:29806","fumarate(2−)","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"gh","HGNC:4261","GH1","hgnc",1,1,FALSE,TRUE,FALSE,TRUE
"ghrelin","CHEBI:75431","ghrelin","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"gip","CHEBI:80165","Glucose-dependent insulinotropic peptide","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"h89","CHEBI:47495","<em>N</em>-[2-(4-bromocinnamylamino)ethyl]isoquinoline-5-sulfonamide","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"his","CHEBI:15971","<small>L</small>-histidine","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"hmgb1","HGNC:4983","HMGB1","hgnc",1,1,FALSE,TRUE,FALSE,FALSE
"hmm","CHEBI:24564","hexamethylmelamine","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"hrg","CHEBI:231555","Human Heregulin-b1","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"hsc","CHEBI:50443","<em>N</em>-(3-carboxypropanoyl)-<em>N</em>-hydroxycadaverine","chebi",1,2,FALSE,TRUE,FALSE,TRUE
"imd","CHEBI:5870","imidacloprid","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"imp","CHEBI:17202","IMP","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"indocin","CHEBI:49662","indometacin","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"indy","CHEBI:195332","INDY","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"iron","CHEBI:18248","iron atom","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"ldn","CHEBI:131902","<em>N</em>-acetyl-β-<small>D</small>-galactosaminyl-(1→4)-<em>N</em>-acetyl-<small>D</small>-glucosaminyl group","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"light","CHEBI:30212","photon","chebi",1,2,FALSE,TRUE,FALSE,FALSE
"light","HGNC:11930","TNFSF14","immport",1,2,FALSE,TRUE,FALSE,FALSE
"lnt","CHEBI:30248","β-<small>D</small>-Gal-(1→3)-β-<small>D</small>-GlcNAc-(1→3)-β-<small>D</small>-Gal-(1→4)-<small>D</small>-Glc","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"lta","CHEBI:73572","Leu-Thr-Ala","chebi",1,1,FALSE,TRUE,FALSE,TRUE
"m6a","HGNC:17563","METTL3","hgnc",1,3,FALSE,TRUE,FALSE,TRUE
"meoh","CHEBI:17790","methanol","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"mig","HGNC:7098","CXCL9","immport",1,0,FALSE,FALSE,FALSE,TRUE
"mit","CHEBI:27847","3-iodo-<small>L</small>-tyrosine","chebi",1,2,FALSE,FALSE,FALSE,TRUE
"mmf","CHEBI:8764","mycophenolate mofetil","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"mnng","CHEBI:21759","<em>N</em>-methyl-<em>N</em>'-nitro-<em>N</em>-nitrosoguanidine","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"myr","CHEBI:25456","tetradecanoyl group","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"nac","CHEBI:7421","NAC","chebi",1,2,FALSE,TRUE,FALSE,FALSE
"nacl","CHEBI:26710","sodium chloride","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"nad","CHEBI:15846","NAD<small><sup>+</small></sup>","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"nbt","CHEBI:9505","nitro blue tetrazolium dichloride","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"ner","CHEBI:25503","nervonoyl group","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"nl1","CHEBI:233244","5-[(3,5-ditert-butyl-4-hydroxyphenyl)methyl]-1,3-thiazolidine-2,4-dione","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"nnk","CHEBI:32692","4-(<em>N</em>-nitrosomethylamino)-1-(3-pyridyl)butan-1-one","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"nog","CHEBI:44482","<em>N</em>-oxalylglycine","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"nvp","CHEBI:63613","nevirapine","chebi",1,1,FALSE,FALSE,FALSE,TRUE
"one","CHEBI:58972","(<i>E</i>)-4-oxonon-2-enal","chebi",1,3,FALSE,FALSE,FALSE,TRUE
"paracetamol","CHEBI:46195","paracetamol","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"pb1","CHEBI:177890","Pb1","chebi",1,1,FALSE,TRUE,FALSE,FALSE
"pd1","HGNC:8760","PDCD1","hgnc",1,7,FALSE,TRUE,FALSE,TRUE
"pfd","CHEBI:31263","bentiromide","chebi",1,1,FALSE,TRUE,FALSE,TRUE
"pim6","CHEBI:59636","PIM<small><sub>6</sub></small>","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"ptx","CHEBI:146207","palytoxin","chebi",1,2,FALSE,FALSE,FALSE,TRUE
"pyruvate","CHEBI:15361","pyruvate","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"sam","CHEBI:15414","<em>S</em>-adenosyl-<small>L</small>-methionine","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"sfa","CHEBI:26607","saturated fatty acid","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"sfe","HGNC:7154","MME","uniprot",1,0,FALSE,FALSE,FALSE,TRUE
"sirp","HGNC:9662","SIRPA","hgnc",1,0,FALSE,FALSE,FALSE,TRUE
"sitagliptin","CHEBI:40237","sitagliptin","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"snap","CHEBI:77702","<i>S</i>-nitroso-<em>N</em>-acetyl-<small>D</small>-penicillamine","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"solifenacin","CHEBI:135530","solifenacin","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"sphingomyelin","CHEBI:17636","sphingomyelin d18:1","chebi",1,0,FALSE,TRUE,FALSE,FALSE
"taf","HGNC:6018","IL6","immport",1,0,FALSE,TRUE,FALSE,TRUE
"tau","CHEBI:36355","tau lepton","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"tbbz","CHEBI:49681","4,5,6,7-tetrabromobenzimidazole","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"tgfbr2","HGNC:11773","TGFBR2","immport",1,0,FALSE,TRUE,FALSE,FALSE
"tmx","CHEBI:39185","thiamethoxam","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"tofa","CHEBI:77936","5-(tetradecyloxy)-2-furoic acid","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"tpen","CHEBI:88217","<em>N</em>,<em>N</em>,<em>N</em>',<em>N</em>'-tetrakis(2-pyridylmethyl)ethylenediamine","chebi",1,0,FALSE,FALSE,FALSE,TRUE
"ttp","CHEBI:9534","thiamine(1+) triphosphate","chebi",1,0,FALSE,TRUE,FALSE,TRUE
"utx","HGNC:12637","KDM6A","hgnc",1,1,FALSE,FALSE,FALSE,TRUE
"yap","HGNC:30935","YY1AP1","hgnc",1,11,FALSE,FALSE,FALSE,TRUE
