cluster_id,method,k_studies,n_sig_used,consistency_score,median_I2,pi_frac_excl0,consistency_note
pair_L0_7d12ab6a,mega_aug,5,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_9118e251,mega_aug,4,784,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_9cf0a243,mega_aug,2,2698,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_a1af8ef7,mega_aug,7,3653,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_a37eee97,mega_aug,3,7866,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_a5aa10d2,mega_aug,5,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_b0db3bfd,mega_aug,8,1730,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_b90bbbb3,mega_aug,7,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_bbe69ba9,mega_aug,2,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_caf0d3ed,mega_aug,4,1702,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_d1550bef,mega_aug,2,11261,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_d204b396,mega_aug,2,170,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_e1cb30b0,mega_aug,2,7154,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_e584b571,mega_aug,3,5,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_f0510944,mega_aug,2,633,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_f2dc3c18,mega_aug,2,5034,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_0cc73601,mega_aug,4,11005,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_10ab5fd9,mega_aug,2,9012,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_187ef2a9,mega_aug,3,7380,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_1bb042b8,mega_aug,2,2,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_2d74feb8,mega_aug,2,633,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_3614cc1f,mega_aug,2,11261,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_3aea8177,mega_aug,4,784,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_4a300db0,mega_aug,2,3199,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_4b065161,mega_aug,2,2698,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_4ba48bc1,mega_aug,2,7154,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_525711bf,mega_aug,2,476,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_54e34427,mega_aug,2,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_5bbe37ec,mega_aug,8,389,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_5bd84a80,mega_aug,30,4429,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_6107c08f,mega_aug,8,1730,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_7351207f,mega_aug,4,1702,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_7a02cb2b,mega_aug,2,3486,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_7ee689e3,mega_aug,21,1386,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_82e7ddd7,mega_aug,4,4403,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_8480388f,mega_aug,9,1342,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_a58e1a42,mega_aug,7,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_af243995,mega_aug,2,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_bc5eff7f,mega_aug,3,8649,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_c724abfd,mega_aug,16,6192,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_cb441a77,mega_aug,5,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_cd39f590,mega_aug,3,5,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_d3f9463d,mega_aug,7,12766,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_d88a2d86,mega_aug,13,9053,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_db4c156b,mega_aug,2,830,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_e47974cf,mega_aug,7,3653,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_ec0989ec,mega_aug,9,1508,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_efdcd518,mega_aug,7,1474,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_f45509d8,mega_aug,3,11793,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_f977ceec,mega_aug,2,5034,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_f98d2b00,mega_aug,5,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L1_ffd5bd7b,mega_aug,8,4538,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_0327e073,mega_aug,4,9214,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_0a7f87d4,mega_aug,3,5,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_0b216fa7,mega_aug,13,6853,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_0b8c3714,mega_aug,6,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_1687bc72,mega_aug,35,3129,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_1956caa9,mega_aug,13,9053,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_273e1a4d,mega_aug,5,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_287dcaf5,mega_aug,3,8649,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_303cbfb9,mega_aug,2,9012,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_380fb0df,mega_aug,2,3486,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_51d3baeb,mega_aug,8,4429,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_5cc99aa9,mega_aug,2,633,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_5d14eeb0,mega_aug,4,784,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_5f380ac5,mega_aug,6,254,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_62582b5b,mega_aug,6,3471,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_6b1c225f,mega_aug,3,11793,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_6e698687,mega_aug,4,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_75367c14,mega_aug,5,11013,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_787a37b6,mega_aug,25,192,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_79d43acc,mega_aug,9,1508,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_7c0da9b7,mega_aug,7,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_7d270e38,mega_aug,2,2396,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_7e2c82d2,mega_aug,2,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_8117a587,mega_aug,2,7154,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_814b5433,mega_aug,7,12766,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_84a6ad93,mega_aug,27,325,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_890ac91d,mega_aug,22,6117,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_89581b46,mega_aug,2,7879,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_89d954a3,mega_aug,8,1638,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_8a7b4367,mega_aug,14,4699,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_8c1e43dd,mega_aug,2,195,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_923e8974,mega_aug,7,3653,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_a21e1449,mega_aug,4,1702,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_a53c98be,mega_aug,4,6076,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_a7b32a11,mega_aug,4,9474,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_a945c305,mega_aug,38,3538,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_ab965872,mega_aug,8,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_bea17786,mega_aug,2,2,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_bfcae63a,mega_aug,3,2752,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_c1578a15,mega_aug,6,42,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_c2394723,mega_aug,4,7495,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_d483c886,mega_aug,8,389,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_d87355da,mega_aug,4,6641,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_d9c06b43,mega_aug,2,2698,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_daadcfb2,mega_aug,24,1479,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_e13ca9a3,mega_aug,6,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_e7442483,mega_aug,2,476,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_ea1dc345,mega_aug,4,5565,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_eeebd1c9,mega_aug,5,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L2_f9cb5553,mega_aug,2,11261,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_00ad1302,mega_aug,147,12,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_02d2c9e5,mega_aug,109,9,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_037b0e72,mega_aug,51,1825,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_05c530e9,mega_aug,77,1,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_0d3bea58,mega_aug,10,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_0ee11393,mega_aug,120,9464,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_108b28b9,mega_aug,32,1099,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_114e2ce2,mega_aug,5,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_147f6c56,mega_aug,43,875,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_14ca9099,mega_aug,64,2011,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_152e6c17,mega_aug,44,6968,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_168b10a9,mega_aug,17,6106,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L3_16e6f3c9,mega_aug,52,1,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
