"caso","ruolo","entita","cluster_id","control_key_cluster","canonical_name","series_id","comparison_id","design_kind_study","design_kind_cmp","varying_factor","fixed_factors","control_type","treated_group","control_group","treated_label","control_label","treated_fl","control_fl","n_treated","n_control","treated_role","control_role","treated_samples","control_samples","design_summary","record_id","valore_controllo","chiave_ricalcolata","ct_compat_vu","mat_T","mat_C"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE224973","GSE224973__grp_0005_vs_grp_0003","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","time|24 hours","secondary_arm","grp_0005","grp_0003","Hypoxia 24h","Normoxia 24h","oxygen_condition=hypoxia ; time=24 hours","oxygen_condition=normoxia ; time=24 hours",3,3,"treated","control","GSM7036417;GSM7036418;GSM7036419","GSM7036407;GSM7036408;GSM7036409","This study investigates the effects of hypoxic and normoxic cultures on healthy human jejunal epithelium over different time points.","GSE224973__GSE224973__grp_0005_vs_grp_0003__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE224973","GSE224973__grp_0006_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","time|48 hours","secondary_arm","grp_0006","grp_0002","Hypoxia 48h","Normoxia 48h","oxygen_condition=hypoxia ; time=48 hours","oxygen_condition=normoxia ; time=48 hours",3,1,"treated","control","GSM7036420;GSM7036421;GSM7036422","GSM7036412","This study investigates the effects of hypoxic and normoxic cultures on healthy human jejunal epithelium over different time points.","GSE224973__GSE224973__grp_0006_vs_grp_0002__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE224973","GSE224973__grp_0007_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","time|6 hours","secondary_arm","grp_0007","grp_0004","Hypoxia 6h","Normoxia 6h","oxygen_condition=hypoxia ; time=6 hours","oxygen_condition=normoxia ; time=6 hours",3,3,"treated","control","GSM7036413;GSM7036414;GSM7036415","GSM7036404;GSM7036405;GSM7036406","This study investigates the effects of hypoxic and normoxic cultures on healthy human jejunal epithelium over different time points.","GSE224973__GSE224973__grp_0007_vs_grp_0004__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE225253","GSE225253__HK-2_hypoxia_vs_HK-2_normoxia","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","cell_line|HK-2","untreated","grp_HK-2_hypoxia","grp_HK-2_normoxia","HK-2 Hypoxia","HK-2 Normoxia","oxygen_condition=hypoxia ; cell_line=HK-2","oxygen_condition=normoxia ; cell_line=HK-2",3,3,"treated","control","GSM7042541;GSM7042542;GSM7042543","GSM7042538;GSM7042539;GSM7042540","This study investigates the effects of hypoxia versus normoxia on two human kidney cell lines, 786-0 and HK-2.","GSE225253__GSE225253__HK-2_hypoxia_vs_HK-2_normoxia__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE228269","GSE228269__grp_0006_vs_grp_0004","multi_arm_treatment","treatment_vs_vehicle","treatment","oxygen_condition|normoxia","vehicle","grp_0006","grp_0004","HRMVEC vehicle hypoxia","HRMVEC vehicle normoxia","treatment=vehicle ; oxygen_condition=hypoxia","treatment=vehicle ; oxygen_condition=normoxia",2,2,"control","control","GSM7118072;GSM7118074","GSM7118068;GSM7118069","This study investigates the effects of a peptide treatment under hypoxia and normoxia conditions on human retinal microvascular endothelial cells.","GSE228269__GSE228269__grp_0006_vs_grp_0004__1","vehicle","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE233425","GSE233425__grp_0005_vs_grp_0001","multi_arm_treatment","treatment_vs_vehicle","treatment","mutation|G6PC mutation","secondary_arm","grp_0005","grp_0001","G6PC mutation, hypoxia","G6PC mutation, normoxia","mutation=G6PC mutation ; treatment=hypoxia","mutation=G6PC mutation ; treatment=normoxia",3,1,"treated","treated","GSM7427903;GSM7427904;GSM7427902","GSM7427892","This study investigates the effects of hypoxia on human hepatocytes with various genetic mutations associated with liver diseases.","GSE233425__GSE233425__grp_0005_vs_grp_0001__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE233425","GSE233425__grp_0006_vs_grp_0004","multi_arm_treatment","treatment_vs_vehicle","treatment","mutation|OTC mutation","secondary_arm","grp_0006","grp_0004","OTC mutation, hypoxia","OTC mutation, normoxia","mutation=OTC mutation ; treatment=hypoxia","mutation=OTC mutation ; treatment=normoxia",1,1,"treated","treated","GSM7427896","GSM7427890","This study investigates the effects of hypoxia on human hepatocytes with various genetic mutations associated with liver diseases.","GSE233425__GSE233425__grp_0006_vs_grp_0004__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE233425","GSE233425__grp_0007_vs_grp_0003","multi_arm_treatment","treatment_vs_vehicle","treatment","mutation|LDLR mutation","secondary_arm","grp_0007","grp_0003","LDLR mutation, hypoxia","LDLR mutation, normoxia","mutation=LDLR mutation ; treatment=hypoxia","mutation=LDLR mutation ; treatment=normoxia",3,1,"treated","treated","GSM7427899;GSM7427900;GSM7427901","GSM7427891","This study investigates the effects of hypoxia on human hepatocytes with various genetic mutations associated with liver diseases.","GSE233425__GSE233425__grp_0007_vs_grp_0003__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE233425","GSE233425__grp_0008_vs_grp_0002","multi_arm_treatment","treatment_vs_vehicle","treatment","mutation|wild-type","secondary_arm","grp_0008","grp_0002","Wild-type, hypoxia","Wild-type, normoxia","mutation=wild-type ; treatment=hypoxia","mutation=wild-type ; treatment=normoxia",3,3,"control","control","GSM7427893;GSM7427894;GSM7427895","GSM7427887;GSM7427889;GSM7427888","This study investigates the effects of hypoxia on human hepatocytes with various genetic mutations associated with liver diseases.","GSE233425__GSE233425__grp_0008_vs_grp_0002__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE233425","GSE233425__grp_0009_vs_grp_0004","multi_arm_treatment","treatment_vs_vehicle","treatment","mutation|OTC mutation","secondary_arm","grp_0009","grp_0004","OTC mutation, hypoxia","OTC mutation, normoxia","mutation=OTC mutation ; treatment=hypoxia","mutation=OTC mutation ; treatment=normoxia",2,1,"treated","treated","GSM7427897;GSM7427898","GSM7427890","This study investigates the effects of hypoxia on human hepatocytes with various genetic mutations associated with liver diseases.","GSE233425__GSE233425__grp_0009_vs_grp_0004__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE244754","GSE244754__grp_0002_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","genetic_modification|wild_type|treatment|none","untreated","grp_0002","grp_0001","DLD-1 wild type hypoxia gRNA 6h","DLD-1 wild type normoxia gRNA control","oxygen_condition=hypoxia ; genetic_modification=wild_type ; treatment=none","oxygen_condition=normoxia ; genetic_modification=wild_type ; treatment=none",3,2,"treated","control","GSM7829076;GSM7829077;GSM7829078","GSM7829073;GSM7829074","This study investigates the effects of hypoxia and various genetic modifications on gene expression in DLD-1 colon cancer cells.","GSE244754__GSE244754__grp_0002_vs_grp_0001__1","normoxia","normoxia",TRUE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE244754","GSE244754__grp_0005_vs_grp_0007","multi_arm_treatment","treatment_vs_vehicle","treatment","oxygen_condition|hypoxia|genetic_modification|HIF1B_KO","genetic_negative","grp_0005","grp_0007","DLD-1 HIF1B_KO hypoxia 6h NT","DLD-1 HIF1B_KO normoxia NT","oxygen_condition=hypoxia ; genetic_modification=HIF1B_KO ; treatment=nt","oxygen_condition=normoxia ; genetic_modification=HIF1B_KO ; treatment=nt",1,6,"treated","control","GSM7829082","GSM7829055;GSM7829056;GSM7829057;GSM7829079;GSM7829080;GSM7829081","This study investigates the effects of hypoxia and various genetic modifications on gene expression in DLD-1 colon cancer cells.","GSE244754__GSE244754__grp_0005_vs_grp_0007__1","nt","nt",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE244754","GSE244754__grp_0014_vs_grp_0015","multi_arm_treatment","treatment_vs_vehicle","oxygen_condition","genetic_modification|BRD4_AID|treatment|auxin","secondary_arm","grp_0014","grp_0015","DLD-1 BRD4_AID auxin hypoxia","DLD-1 BRD4_AID auxin normoxia","oxygen_condition=hypoxia ; genetic_modification=BRD4_AID ; treatment=auxin","oxygen_condition=normoxia ; genetic_modification=BRD4_AID ; treatment=auxin",3,3,"treated","treated","GSM7829052;GSM7829053;GSM7829054","GSM7829046;GSM7829047;GSM7829048","This study investigates the effects of hypoxia and various genetic modifications on gene expression in DLD-1 colon cancer cells.","GSE244754__GSE244754__grp_0014_vs_grp_0015__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE244754","GSE244754__grp_0027_vs_grp_0028","multi_arm_treatment","treatment_vs_vehicle","oxygen_condition","genetic_modification|BRD4G3-TetOGFP-dCTM|treatment|dox","secondary_arm","grp_0027","grp_0028","DLD-1 BRD4G3-TetOGFP-dCTM dox hypoxia","DLD-1 BRD4G3-TetOGFP-dCTM dox normoxia","oxygen_condition=hypoxia ; genetic_modification=BRD4G3-TetOGFP-dCTM ; treatment=dox","oxygen_condition=normoxia ; genetic_modification=BRD4G3-TetOGFP-dCTM ; treatment=dox",3,3,"treated","treated","GSM7829067;GSM7829068;GSM7829069","GSM7829103;GSM7829104;GSM7829105","This study investigates the effects of hypoxia and various genetic modifications on gene expression in DLD-1 colon cancer cells.","GSE244754__GSE244754__grp_0027_vs_grp_0028__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE244754","GSE244754__grp_0029_vs_grp_0030","multi_arm_treatment","treatment_vs_vehicle","oxygen_condition","genetic_modification|BRD4G3-TetOGFP-FL|treatment|dox","secondary_arm","grp_0029","grp_0030","DLD-1 BRD4G3-TetOGFP-FL dox hypoxia","DLD-1 BRD4G3-TetOGFP-FL dox normoxia","oxygen_condition=hypoxia ; genetic_modification=BRD4G3-TetOGFP-FL ; treatment=dox","oxygen_condition=normoxia ; genetic_modification=BRD4G3-TetOGFP-FL ; treatment=dox",3,3,"treated","treated","GSM7829061;GSM7829062;GSM7829063","GSM7829097;GSM7829098;GSM7829099","This study investigates the effects of hypoxia and various genetic modifications on gene expression in DLD-1 colon cancer cells.","GSE244754__GSE244754__grp_0029_vs_grp_0030__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE245762","GSE245762__grp_0001_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","cell_line|U3017-MG","untreated","grp_0001","grp_0002","U3017-MG Hypoxia","U3017-MG Normoxia","oxygen_condition=hypoxia ; cell_line=U3017-MG","oxygen_condition=normoxia ; cell_line=U3017-MG",3,3,"treated","control","GSM7848689;GSM7848690;GSM7848691","GSM7848686;GSM7848687;GSM7848688","This study investigates the effects of hypoxia versus normoxia on glioblastoma cell lines.","GSE245762__GSE245762__grp_0001_vs_grp_0002__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE245762","GSE245762__grp_0003_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","cell_line|U3034-MG","untreated","grp_0003","grp_0004","U3034-MG Hypoxia","U3034-MG Normoxia","oxygen_condition=hypoxia ; cell_line=U3034-MG","oxygen_condition=normoxia ; cell_line=U3034-MG",1,3,"treated","control","GSM7848692","GSM7848694;GSM7848695;GSM7848696","This study investigates the effects of hypoxia versus normoxia on glioblastoma cell lines.","GSE245762__GSE245762__grp_0003_vs_grp_0004__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE245762","GSE245762__grp_0005_vs_grp_0006","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","cell_line|U3047-MG","untreated","grp_0005","grp_0006","U3047-MG Hypoxia","U3047-MG Normoxia","oxygen_condition=hypoxia ; cell_line=U3047-MG","oxygen_condition=normoxia ; cell_line=U3047-MG",3,3,"treated","control","GSM7848701;GSM7848702;GSM7848703","GSM7848698;GSM7848699;GSM7848700","This study investigates the effects of hypoxia versus normoxia on glioblastoma cell lines.","GSE245762__GSE245762__grp_0005_vs_grp_0006__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE254480","GSE254480__Hypoxia_vs_Normoxia","treatment_vs_vehicle","treatment_vs_untreated","oxygen_level","","untreated","grp_Hypoxia","grp_Normoxia","Hypoxia","Normoxia","oxygen_level=Hypoxia","oxygen_level=Normoxia",1,1,"treated","control","GSM8043002","GSM8043001","This study investigates the effects of hypoxia (<0.1% oxygen) versus normoxia (20% oxygen) on HeLa cells.","GSE254480__GSE254480__Hypoxia_vs_Normoxia__1","Normoxia","normoxia",TRUE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE255352","GSE255352__grp_0002_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","genetic_manipulation|wild_type","untreated","grp_0002","grp_0001","KYSE30 Hypoxia","KYSE30 Control","oxygen_condition=hypoxia ; genetic_manipulation=wild_type","oxygen_condition=normoxia ; genetic_manipulation=wild_type",3,3,"treated","control","GSM8070214;GSM8070215;GSM8070216","GSM8070220;GSM8070221;GSM8070222","This study investigates the effects of hypoxia and normoxia on KYSE30 cells, including the overexpression of LAMC2.","GSE255352__GSE255352__grp_0002_vs_grp_0001__1","normoxia","normoxia",TRUE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE269699","GSE269699__grp_0001_vs_grp_0003","treatment_vs_vehicle","treatment_vs_untreated","oxygen_condition","donor_id|Healthy donor 1","untreated","grp_0001","grp_0003","Hypoxia (Donor 1)","Normoxia (Control, Donor 2)","oxygen_condition=hypoxia ; donor_id=Healthy donor 1","oxygen_condition=normoxia ; donor_id=Healthy donor 2",2,2,"treated","control","GSM8324979;GSM8324980","GSM8324983;GSM8324984","This study investigates the effects of hypoxia on human monocyto-derived macrophages.","GSE269699__GSE269699__grp_0001_vs_grp_0003__1","normoxia","normoxia",TRUE,"primary","primary"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE269699","GSE269699__grp_0002_vs_grp_0003","treatment_vs_vehicle","treatment_vs_untreated","oxygen_condition","donor_id|Healthy donor 3","untreated","grp_0002","grp_0003","Hypoxia (Donor 3)","Normoxia (Control, Donor 2)","oxygen_condition=hypoxia ; donor_id=Healthy donor 3","oxygen_condition=normoxia ; donor_id=Healthy donor 2",1,2,"treated","control","GSM8324981","GSM8324983;GSM8324984","This study investigates the effects of hypoxia on human monocyto-derived macrophages.","GSE269699__GSE269699__grp_0002_vs_grp_0003__1","normoxia","normoxia",TRUE,"primary","primary"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE59987","GSE59987__grp_0001_vs_grp_0002","factorial","treatment_vs_vehicle","oxygen_condition","TET1_knockdown|wild_type","vehicle","grp_0001","grp_0002","FADU cells under hypoxia","FADU cells under normoxia","oxygen_condition=hypoxia ; TET1_knockdown=wild_type","oxygen_condition=normoxia ; TET1_knockdown=wild_type",1,1,"treated","control","GSM1463076","GSM1463078","This study investigates the effects of hypoxia and TET1 knockdown on gene expression in FADU cells.","GSE59987__GSE59987__grp_0001_vs_grp_0002__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE59987","GSE59987__grp_0003_vs_grp_0004","factorial","treatment_vs_vehicle","oxygen_condition","TET1_knockdown|knockdown","vehicle","grp_0003","grp_0004","FADU cells with TET1 knockdown under hypoxia","FADU cells with TET1 knockdown under normoxia","oxygen_condition=hypoxia ; TET1_knockdown=knockdown","oxygen_condition=normoxia ; TET1_knockdown=knockdown",1,1,"treated","control","GSM1463077","GSM1463079","This study investigates the effects of hypoxia and TET1 knockdown on gene expression in FADU cells.","GSE59987__GSE59987__grp_0003_vs_grp_0004__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE77307","GSE77307__HEB_hypoxia_vs_normoxia","multi_arm_treatment","treatment_vs_untreated","treatment","cell_line|HEB cell line","untreated","grp_0002","grp_0001","HEB cell line, hypoxia","HEB cell line, normoxia","cell_line=HEB cell line ; treatment=hypoxia","cell_line=HEB cell line ; treatment=normoxia",3,3,"treated","control","GSM2048422;GSM2048423;GSM2048424","GSM2048419;GSM2048420;GSM2048421","This study investigates the effects of hypoxia on gene expression in human brain cell lines, comparing normoxic and hypoxic conditions.","GSE77307__GSE77307__HEB_hypoxia_vs_normoxia__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE77307","GSE77307__U87MG_hypoxia_vs_normoxia","multi_arm_treatment","treatment_vs_untreated","treatment","cell_line|U87-MG cell line","untreated","grp_0006","grp_0003","U87-MG cell line, hypoxia","U87-MG cell line, normoxia","cell_line=U87-MG cell line ; treatment=hypoxia","cell_line=U87-MG cell line ; treatment=normoxia",2,2,"treated","control","GSM2048417;GSM2048418","GSM2048413;GSM2048415","This study investigates the effects of hypoxia on gene expression in human brain cell lines, comparing normoxic and hypoxic conditions.","GSE77307__GSE77307__U87MG_hypoxia_vs_normoxia__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE78025","GSE78025__grp_0003_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","oxygen_level","cell_line|HEB","untreated","grp_0003","grp_0001","HEB 5% hypoxia","HEB normoxia","cell_line=HEB ; oxygen_level=5% hypoxia","cell_line=HEB ; oxygen_level=normoxia",1,3,"treated","control","GSM2064651","GSM2064645;GSM2064646;GSM2064647","This study investigates the effects of hypoxia on human brain cell lines, specifically HEB and U87-MG cells, under different oxygen levels.","GSE78025__GSE78025__grp_0003_vs_grp_0001__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE78025","GSE78025__grp_0005_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","oxygen_level","cell_line|U87-MG","untreated","grp_0005","grp_0004","U87-MG 1% hypoxia","U87-MG normoxia","cell_line=U87-MG ; oxygen_level=1% hypoxia","cell_line=U87-MG ; oxygen_level=normoxia",1,3,"treated","control","GSM2064659","GSM2064654;GSM2064655;GSM2064656","This study investigates the effects of hypoxia on human brain cell lines, specifically HEB and U87-MG cells, under different oxygen levels.","GSE78025__GSE78025__grp_0005_vs_grp_0004__1","normoxia","normoxia",TRUE,"model","model"
"SARS-CoV-2","SCARTATO","NCBITaxon:2697049","cgroup_L5_89b5ca86","uninfected","sars-cov-2","GSE161281","GSE161281__grp_0002_vs_grp_0001","treatment_vs_untreated","treatment_vs_untreated","infection_status","","untreated","grp_0002","grp_0001","SARS-CoV-2 infected hESC-derived peripheral neurons","Uninfected hESC-derived peripheral neurons","infection_status=SARS-CoV-2","infection_status=uninfected",2,2,"treated","control","GSM4904279;GSM4904281","GSM4904278;GSM4904280","This study investigates the effects of SARS-CoV-2 infection on hESC-derived peripheral neurons.","GSE161281__GSE161281__grp_0002_vs_grp_0001__1","uninfected","uninfected",TRUE,"model","model"
"SARS-CoV-2","SCARTATO","NCBITaxon:2697049","cgroup_L5_89b5ca86","uninfected","sars-cov-2","GSE175900","GSE175900__SARS-CoV-2_21_days_vs_uninfected","case_control_disease","case_control_disease","exposure","","disease_normal","grp_0001","grp_0003","SARS-CoV-2 exposure for 21 days","uninfected","exposure=SARS-CoV-2 exposure for 21 days","exposure=uninfected",1,1,"treated","control","GSM5350958","GSM5350959","This study investigates the transcriptional changes in human lung samples exposed to SARS-CoV-2 over different durations and compares them to uninfected controls.","GSE175900__GSE175900__SARS-CoV-2_21_days_vs_uninfected__1","uninfected","uninfected",FALSE,"unknown","unknown"
"SARS-CoV-2","SCARTATO","NCBITaxon:2697049","cgroup_L5_89b5ca86","uninfected","sars-cov-2","GSE175900","GSE175900__SARS-CoV-2_5_days_vs_uninfected","case_control_disease","case_control_disease","exposure","","disease_normal","grp_0002","grp_0003","SARS-CoV-2 exposure for 5 days","uninfected","exposure=SARS-CoV-2 exposure for 5 days","exposure=uninfected",1,1,"treated","control","GSM5350957","GSM5350959","This study investigates the transcriptional changes in human lung samples exposed to SARS-CoV-2 over different durations and compares them to uninfected controls.","GSE175900__GSE175900__SARS-CoV-2_5_days_vs_uninfected__1","uninfected","uninfected",FALSE,"unknown","unknown"
"SARS-CoV-2","SCARTATO","NCBITaxon:2697049","cgroup_L5_89b5ca86","uninfected","sars-cov-2","GSE237059","GSE237059__grp_0001_vs_grp_0002","treatment_vs_vehicle","treatment_vs_vehicle","infection_status","passage_or_state|Sheared","untreated","grp_0001","grp_0002","SARS-CoV-2 WA1 (sheared)","Uninfected (sheared)","infection_status=SARS-CoV-2 WA1 ; passage_or_state=Sheared","infection_status=Uninfected ; passage_or_state=Sheared",1,1,"treated","control","GSM7594080","GSM7594079","This study investigates the transcriptional response of iPSC-derived alveolar organoids to SARS-CoV-2 infection.","GSE237059__GSE237059__grp_0001_vs_grp_0002__1","Uninfected","uninfected",TRUE,"model","model"
"SARS-CoV-2","SCARTATO","NCBITaxon:2697049","cgroup_L5_89b5ca86","uninfected","sars-cov-2","GSE237059","GSE237059__grp_0003_vs_grp_0004","treatment_vs_vehicle","treatment_vs_vehicle","infection_status","","untreated","grp_0003","grp_0004","SARS-CoV-2 WA1 (non-sheared)","Uninfected (non-sheared)","infection_status=SARS-CoV-2 WA1","infection_status=Uninfected",2,2,"treated","control","GSM7594078;GSM7594082","GSM7594077;GSM7594081","This study investigates the transcriptional response of iPSC-derived alveolar organoids to SARS-CoV-2 infection.","GSE237059__GSE237059__grp_0003_vs_grp_0004__1","Uninfected","uninfected",TRUE,"unknown","unknown"
"SARS-CoV-2","VINCENTE","NCBITaxon:2697049","cgroup_L5_871ae09e","vehicle_untreated","sars-cov2","GSE148696","GSE148696__grp_0002_vs_grp_0001","treatment_vs_vehicle","treatment_vs_vehicle","infection_status","","vehicle","grp_0002","grp_0001","SARS-CoV-2 infected Hesc cells","Mock infected Hesc cells","infection_status=SARS-CoV-2","infection_status=mock infected",2,2,"treated","control","GSM4476796;GSM4476797","GSM4476794;GSM4476795","This study investigates the transcriptional response of human iPSC-derived colon cells to SARS-CoV-2 infection compared to mock-infected controls.","GSE148696__GSE148696__grp_0002_vs_grp_0001__1","mock infected","vehicle_untreated",TRUE,"model","model"
"SARS-CoV-2","VINCENTE","NCBITaxon:2697049","cgroup_L5_871ae09e","vehicle_untreated","sars-cov2","GSE148697","GSE148697__grp_0002_vs_grp_0001","treatment_vs_vehicle","treatment_vs_vehicle","treatment","cell_type|Hesc cells|tissue|lung","vehicle","grp_0002","grp_0001","SARS-CoV-2-infected Hesc cells","Mock-treated Hesc cells","treatment=sars-Cov2 ; cell_type=Hesc cells ; tissue=lung","treatment=mock ; cell_type=Hesc cells ; tissue=lung",3,3,"treated","control","GSM4476798;GSM4476799;GSM4476800","GSM4476801;GSM4476802;GSM4476803","This study investigates the transcriptional response of human iPSC-derived lung cells to SARS-CoV-2 infection compared to a mock-treated control.","GSE148697__GSE148697__grp_0002_vs_grp_0001__1","mock","vehicle_untreated",TRUE,"model","model"
"SARS-CoV-2","VINCENTE","NCBITaxon:2697049","cgroup_L5_871ae09e","vehicle_untreated","sars-cov2","GSE150819","GSE150819__HBO_SARS_vs_HBO_none","multi_arm_treatment","treatment_vs_untreated","perturbation","cell_context|human bronchial organoids","untreated","grp_HBO_SARS","grp_HBO_none","Human bronchial organoids, SARS-CoV-2","Human bronchial organoids, no treatment","cell_context=human bronchial organoids ; perturbation=SARS-CoV-2","cell_context=human bronchial organoids ; perturbation=none",3,3,"treated","control","GSM4559196;GSM4559197;GSM4559198","GSM4559208;GSM4559209;GSM4559210","This study investigates the transcriptional response of human lung cells and bronchial organoids to SARS-CoV-2 infection and the effects of camostat treatment.","GSE150819__GSE150819__HBO_SARS_vs_HBO_none__1","none","vehicle_untreated",TRUE,"model","model"
"SARS-CoV-2","VINCENTE","NCBITaxon:2697049","cgroup_L5_871ae09e","vehicle_untreated","sars-cov2","GSE151803","GSE151803__grp_0001_vs_grp_0003","multi_arm_treatment","case_control_disease","cell_context","perturbation|sars-Cov2","secondary_arm","grp_0001","grp_0003","COVID-19 Lung 58L","hESC Mock","cell_context=COVID-19 Lung 58L ; perturbation=sars-Cov2","cell_context=hESC ; perturbation=Mock",1,1,"treated","control","GSM4591158","GSM4591164","This study investigates the transcriptional response of human lung tissue and organoids to SARS-CoV-2 infection.","GSE151803__GSE151803__grp_0001_vs_grp_0003__1","hESC","hesc",FALSE,"primary","model"
"SARS-CoV-2","VINCENTE","NCBITaxon:2697049","cgroup_L5_871ae09e","vehicle_untreated","sars-cov2","GSE151803","GSE151803__grp_0002_vs_grp_0003","multi_arm_treatment","case_control_disease","cell_context","perturbation|sars-Cov2","secondary_arm","grp_0002","grp_0003","COVID-19 Lung","hESC Mock","cell_context=COVID-19 Lung ; perturbation=sars-Cov2","cell_context=hESC ; perturbation=Mock",2,1,"treated","control","GSM4591156;GSM4591157","GSM4591164","This study investigates the transcriptional response of human lung tissue and organoids to SARS-CoV-2 infection.","GSE151803__GSE151803__grp_0002_vs_grp_0003__1","hESC","hesc",FALSE,"primary","model"
"SARS-CoV-2","VINCENTE","NCBITaxon:2697049","cgroup_L5_871ae09e","vehicle_untreated","sars-cov2","GSE151803","GSE151803__grp_0005_vs_grp_0003","multi_arm_treatment","case_control_disease","cell_context","perturbation|sars-Cov2","secondary_arm","grp_0005","grp_0003","hESC sars-Cov2","hESC Mock","cell_context=hESC ; perturbation=sars-Cov2","cell_context=hESC ; perturbation=Mock",3,1,"treated","control","GSM4591159;GSM4591160;GSM4591161","GSM4591164","This study investigates the transcriptional response of human lung tissue and organoids to SARS-CoV-2 infection.","GSE151803__GSE151803__grp_0005_vs_grp_0003__1","hESC","hesc",FALSE,"model","model"
