"gruppo","cluster_id","scrittura","series_id","comparison_id","design_kind_study","design_kind_cmp","varying_factor","fixed_factors","control_type","treated_group","control_group","treated_label","control_label","treated_fl","control_fl","n_treated","n_control","treated_role","control_role","design_summary","record_id"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_897d1777","HGNC:5962","GSE198963","GSE198963__grp_0009_vs_grp_0008","multi_arm_treatment","treatment_vs_untreated","treatment","mutation|STAT3-H332L","untreated","grp_0009","grp_0008","IL10 stimulated STAT3-H332L CD4+ T-cells (Age 18, Male)","Unstimulated STAT3-H332L CD4+ T-cells (Age 18, Male)","treatment=IL10 ; mutation=STAT3-H332L","treatment=unstimulated ; mutation=STAT3-H332L",1,1,"treated","control","This study investigates the effects of IL21 and IL10 stimulation on purified CD4+ T-cells from human peripheral blood, including various STAT3 mutations.","GSE198963__GSE198963__grp_0009_vs_grp_0008__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_897d1777","HGNC:5962","GSE198963","GSE198963__grp_0015_vs_grp_0014","multi_arm_treatment","treatment_vs_untreated","treatment","mutation|STAT3-Q288P","untreated","grp_0015","grp_0014","IL10 stimulated STAT3-Q288P CD4+ T-cells (Age 12, Male)","Unstimulated STAT3-Q288P CD4+ T-cells (Age 12, Male)","treatment=IL10 ; mutation=STAT3-Q288P","treatment=unstimulated ; mutation=STAT3-Q288P",1,1,"treated","control","This study investigates the effects of IL21 and IL10 stimulation on purified CD4+ T-cells from human peripheral blood, including various STAT3 mutations.","GSE198963__GSE198963__grp_0015_vs_grp_0014__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_897d1777","HGNC:5962","GSE198963","GSE198963__grp_0020_vs_grp_0018","multi_arm_treatment","treatment_vs_untreated","treatment","mutation|STAT3-T716M","untreated","grp_0020","grp_0018","IL10 stimulated STAT3-T716M CD4+ T-cells (Age 9, Female)","Unstimulated STAT3-T716M CD4+ T-cells (Age 9, Female)","treatment=IL10 ; mutation=STAT3-T716M","treatment=unstimulated ; mutation=STAT3-T716M",1,1,"treated","control","This study investigates the effects of IL21 and IL10 stimulation on purified CD4+ T-cells from human peripheral blood, including various STAT3 mutations.","GSE198963__GSE198963__grp_0020_vs_grp_0018__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_897d1777","HGNC:5962","GSE80727","GSE80727__grp_0004_vs_grp_0003","multi_arm_treatment","treatment_vs_vehicle","perturbation","","vehicle","grp_0004","grp_0003","IL10 stimulated (additional)","Vehicle control","perturbation=IL10","perturbation=vehicle",2,5,"treated","control","This study investigates the effects of cytokine stimulation on peripheral blood monocyte-derived macrophages using RNA-seq.","GSE80727__GSE80727__grp_0004_vs_grp_0003__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE132958","GSE132958__grp_0002_vs_grp_0001","treatment_vs_vehicle","treatment_vs_vehicle","treatment","","vehicle","grp_0002","grp_0001","TNF-alpha stimulated","Nontargeting control","treatment=TNF-alpha","treatment=Nontargeting control",2,2,"treated","control","This study investigates the effects of TNF-alpha stimulation on pathological intervertebral disc cells from the nucleus pulposus, comparing treated and control conditions.","GSE132958__GSE132958__grp_0002_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE210522","GSE210522__group_0025_vs_group_0024","multi_arm_treatment","treatment_vs_vehicle","perturbation","cell_line|Eahy926","vehicle","group_0025","group_0024","Eahy926_TNF_alpha","Eahy926_Vehicle","cell_line=Eahy926 ; perturbation=TNF-alpha","cell_line=Eahy926 ; perturbation=Vehicle",3,3,"treated","control","This study investigates the effects of various perturbations on human vascular cells using CRISPRi technology and cytokine stimulations.","GSE210522__GSE210522__group_0025_vs_group_0024__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE210522","GSE210522__group_0031_vs_group_0029","multi_arm_treatment","treatment_vs_vehicle","perturbation","cell_line|TeloHAEC","vehicle","group_0031","group_0029","TeloHAEC_TNF_alpha","TeloHAEC_Vehicle","cell_line=TeloHAEC ; perturbation=TNF-alpha","cell_line=TeloHAEC ; perturbation=Vehicle",3,3,"treated","control","This study investigates the effects of various perturbations on human vascular cells using CRISPRi technology and cytokine stimulations.","GSE210522__GSE210522__group_0031_vs_group_0029__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE211439","GSE211439__TNF_alpha_vs_Media_control","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_TNF_alpha","grp_media_control","TNF-alpha-treated HBMEC","Media control HBMEC","treatment=TNF-alpha","treatment=Media control",6,6,"treated","control","This study investigates the response of human brain microvascular endothelial cells (HBMEC) to various treatments, including pathogen exposure and cytokine stimulation.","GSE211439__GSE211439__TNF_alpha_vs_Media_control__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE217421","GSE217421__grp_DMSO_1_vs_grp_TNF_alpha_1","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|tissue|skin|context_kind|iPSC_derived","vehicle","mg88","mg1","TNF-alpha-stimulated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=TNF-alpha ; cell_type=cardiac myocytes ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",18,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_TNF_alpha_1__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE217421","GSE217421__grp_DMSO_1_vs_grp_TNF_alpha_2","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|tissue|skin|context_kind|iPSC_derived","vehicle","mg89","mg1","TNF-alpha-stimulated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=TNF-alpha ; cell_type=cardiac myocytes ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",4,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_TNF_alpha_2__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE217421","GSE217421__grp_DMSO_1_vs_grp_TNF_alpha_3","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|cell_line|MSN05|tissue|skin|context_kind|iPSC_derived","vehicle","mg90","mg1","TNF-alpha-stimulated MSN05 cardiac myocytes","DMSO-treated cardiac myocytes","treatment=TNF-alpha ; cell_type=cardiac myocytes ; cell_line=MSN05 ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",1,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_TNF_alpha_3__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE226186","GSE226186__grp_0002_vs_grp_0001","treatment_vs_vehicle","treatment_vs_vehicle","treatment","","vehicle","grp_0002","grp_0001","TNF-alpha Stimulation","Vehicle Control","treatment=TNF-alpha","treatment=vehicle_only",3,3,"treated","control","This study investigates the effects of TNF-alpha stimulation on primary nucleus pulposus cells from human intervertebral discs.","GSE226186__GSE226186__grp_0002_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE65354","GSE65354__grp_0002_vs_grp_0001","factorial","treatment_vs_untreated","perturbation","","untreated","grp_0002","grp_0001","TNF-alpha stimulated","Control (Cytosolic Hsp60 normal and TNF-alpha negative)","perturbation=TNF-alpha stimulation","perturbation=none",1,1,"treated","control","This study investigates the effects of TNF-alpha stimulation and cytosolic Hsp60 depletion on aortic vascular smooth muscle cells.","GSE65354__GSE65354__grp_0002_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE70068","GSE70068__grp_0001_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","Cytokine Stimulation","Cell Type|Neutrophils|Duration|1 hour","untreated","grp_0001","grp_0002","Neutrophils stimulated with TNF-alpha","Untreated Neutrophils (Donor 1)","Cytokine Stimulation=TNF-alpha ; Duration=1 hour","Treatment=Untreated ; Duration=1 hour",2,3,"treated","control","This study investigates the transcriptional response of human neutrophils to cytokine stimulation with TNF-alpha and GM-CSF.","GSE70068__GSE70068__grp_0001_vs_grp_0002__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE70068","GSE70068__grp_0004_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","Cytokine Stimulation","Cell Type|Neutrophils|Duration|1 hour","untreated","grp_0004","grp_0002","Neutrophils stimulated with TNF-alpha","Untreated Neutrophils (Donor 1)","Cytokine Stimulation=TNF-alpha ; Duration=1 hour","Treatment=Untreated ; Duration=1 hour",1,3,"treated","control","This study investigates the transcriptional response of human neutrophils to cytokine stimulation with TNF-alpha and GM-CSF.","GSE70068__GSE70068__grp_0004_vs_grp_0002__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","GSE70068","GSE70068__grp_0005_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","Cytokine Stimulation","Cell Type|Neutrophils|Duration|1 hour","untreated","grp_0005","grp_0002","Neutrophils stimulated with TNF-alpha","Untreated Neutrophils (Donor 1)","Cytokine Stimulation=TNF-alpha ; Duration=1 hour","Treatment=Untreated ; Duration=1 hour",1,3,"treated","control","This study investigates the transcriptional response of human neutrophils to cytokine stimulation with TNF-alpha and GM-CSF.","GSE70068__GSE70068__grp_0005_vs_grp_0002__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE108621","GSE108621__TNF_vs_DMSO","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_TNF","grp_DMSO","TNF-α","DMSO","treatment=TNF-α","treatment=DMSO",3,3,"treated","control","This study investigates the effects of TNF-α stimulation and various inhibitors on colon adenocarcinoma cell line HT29.","GSE108621__GSE108621__TNF_vs_DMSO__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE115311","GSE115311__grp_0004_vs_grp_0026","multi_arm_treatment","treatment_vs_untreated","perturbation","cell_type|ES-derived mesenchymal stem cells","untreated","grp_0004","grp_0026","ES-derived mesenchymal stem cells, TNFa stimulation","ES-derived mesenchymal stem cells, undifferentiated, untreated","cell_type=ES-derived mesenchymal stem cells ; perturbation=TNFa stimulation","cell_type=ES-derived mesenchymal stem cells ; perturbation=untreated",2,2,"treated","control","This study investigates the effects of various perturbations on ES-derived mesenchymal stem cells and vascular cells.","GSE115311__GSE115311__grp_0004_vs_grp_0026__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE115311","GSE115311__grp_0020_vs_grp_0019","multi_arm_treatment","treatment_vs_untreated","perturbation","cell_type|ES-derived vascular smooth muscle cells","untreated","grp_0020","grp_0019","ES-derived vascular smooth muscle cells, TNFa stimulation","ES-derived vascular smooth muscle cells, untreated","cell_type=ES-derived vascular smooth muscle cells ; perturbation=TNFa stimulation","cell_type=ES-derived vascular smooth muscle cells ; perturbation=untreated",2,2,"treated","control","This study investigates the effects of various perturbations on ES-derived mesenchymal stem cells and vascular cells.","GSE115311__GSE115311__grp_0020_vs_grp_0019__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE122305","GSE122305__TNF_vs_PBS0.1%BSA","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_0008","grp_0001","TNF","Control (PBS-0.1%BSA)","treatment=TNF","treatment=PBS-0.1%BSA",3,3,"treated","control","This study investigates the effects of various cytokine stimulations on human skin tissue.","GSE122305__GSE122305__TNF_vs_PBS0.1%BSA__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE126101","GSE126101__TNFa_vs_control","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_0003","grp_0001","TNFα","Control (Ctrl)","treatment=TNFα","treatment=control",3,4,"treated","control","This study investigates the effects of palmitate and TNFα treatments on primary human skeletal muscle cells.","GSE126101__GSE126101__TNFa_vs_control__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE128638","GSE128638__TNF_1hr_vs_Untreated","time_course","treatment_vs_untreated","time","treatment|TNF","untreated","grp_0002","grp_0001","Monocytes treated with TNF for 1 hour","Untreated monocytes","treatment=TNF ; time=1hr","treatment=none ; time=0hr",1,1,"treated","control","Time course analysis of TNF stimulation in human monocytes.","GSE128638__GSE128638__TNF_1hr_vs_Untreated__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE128638","GSE128638__TNF_3hr_vs_Untreated","time_course","treatment_vs_untreated","time","treatment|TNF","untreated","grp_0003","grp_0001","Monocytes treated with TNF for 3 hours","Untreated monocytes","treatment=TNF ; time=3hr","treatment=none ; time=0hr",1,1,"treated","control","Time course analysis of TNF stimulation in human monocytes.","GSE128638__GSE128638__TNF_3hr_vs_Untreated__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE128638","GSE128638__TNF_6hr_vs_Untreated","time_course","treatment_vs_untreated","time","treatment|TNF","untreated","grp_0004","grp_0001","Monocytes treated with TNF for 6 hours","Untreated monocytes","treatment=TNF ; time=6hr","treatment=none ; time=0hr",1,1,"treated","control","Time course analysis of TNF stimulation in human monocytes.","GSE128638__GSE128638__TNF_6hr_vs_Untreated__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE128638","GSE128638__TNF_24hr_vs_Untreated","time_course","treatment_vs_untreated","time","treatment|TNF","untreated","grp_0005","grp_0001","Monocytes treated with TNF for 24 hours","Untreated monocytes","treatment=TNF ; time=24hr","treatment=none ; time=0hr",1,1,"treated","control","Time course analysis of TNF stimulation in human monocytes.","GSE128638__GSE128638__TNF_24hr_vs_Untreated__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE130226","GSE130226__grp_0003_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","genetic_background|wild-type","untreated","grp_0003","grp_0001","Caco2 cells, TNFα, disease model","Caco2 cells, untreated, disease model","treatment=TNFα ; genetic_background=wild-type","treatment=untreated ; genetic_background=wild-type",2,1,"treated","control","This study investigates the effects of TNFα stimulation on Caco2 cells, including both wild-type and genetically modified variants.","GSE130226__GSE130226__grp_0003_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE130226","GSE130226__grp_0004_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","genetic_background|wild-type","untreated","grp_0004","grp_0001","Caco2 cells, TNFα, disease model","Caco2 cells, untreated, disease model","treatment=TNFα ; genetic_background=wild-type","treatment=untreated ; genetic_background=wild-type",2,1,"treated","control","This study investigates the effects of TNFα stimulation on Caco2 cells, including both wild-type and genetically modified variants.","GSE130226__GSE130226__grp_0004_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE130226","GSE130226__grp_0005_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","genetic_background|wild-type","untreated","grp_0005","grp_0001","Caco2 cells, TNFα, disease model","Caco2 cells, untreated, disease model","treatment=TNFα ; genetic_background=wild-type","treatment=untreated ; genetic_background=wild-type",2,1,"treated","control","This study investigates the effects of TNFα stimulation on Caco2 cells, including both wild-type and genetically modified variants.","GSE130226__GSE130226__grp_0005_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE130226","GSE130226__grp_0007_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","treatment","genetic_background|wild-type","untreated","grp_0007","grp_0002","Caco2 cells, TNFα, no disease model","Caco2 cells, untreated, no disease model","treatment=TNFα ; genetic_background=wild-type","treatment=untreated ; genetic_background=wild-type",2,6,"treated","control","This study investigates the effects of TNFα stimulation on Caco2 cells, including both wild-type and genetically modified variants.","GSE130226__GSE130226__grp_0007_vs_grp_0002__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE130226","GSE130226__grp_0008_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","treatment","genetic_background|wild-type","untreated","grp_0008","grp_0002","Caco2 cells, TNFα, no disease model","Caco2 cells, untreated, no disease model","treatment=TNFα ; genetic_background=wild-type","treatment=untreated ; genetic_background=wild-type",1,6,"treated","control","This study investigates the effects of TNFα stimulation on Caco2 cells, including both wild-type and genetically modified variants.","GSE130226__GSE130226__grp_0008_vs_grp_0002__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE130226","GSE130226__grp_0010_vs_grp_0009","multi_arm_treatment","treatment_vs_untreated","treatment","genetic_background|CFTRpos","untreated","grp_0010","grp_0009","Caco2 CFTRpos cells, TNFα, no disease model","Caco2 CFTRpos cells, untreated, no disease model","treatment=TNFα ; genetic_background=CFTRpos","treatment=untreated ; genetic_background=CFTRpos",2,4,"treated","control","This study investigates the effects of TNFα stimulation on Caco2 cells, including both wild-type and genetically modified variants.","GSE130226__GSE130226__grp_0010_vs_grp_0009__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE138237","GSE138237__grp_0002_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","genotype|WT|time|45 min","untreated","grp_0002","grp_0001","MCF7 WT TNFα 45 min","MCF7 WT control","genotype=WT ; treatment=TNFα ; time=45 min","genotype=WT ; treatment=control",1,2,"treated","control","This study investigates the transcriptional response of MCF7 breast cancer cells to TNFα stimulation over time, comparing wild-type and NF-κB-deficient variants.","GSE138237__GSE138237__grp_0002_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE138237","GSE138237__grp_0005_vs_grp_0003","multi_arm_treatment","treatment_vs_untreated","treatment","genotype|ΔNFκB|time|45 min","untreated","grp_0005","grp_0003","MCF7 ΔNFκB TNFα 45 min","MCF7 ΔNFκB control","genotype=ΔNFκB ; treatment=TNFα ; time=45 min","genotype=ΔNFκB ; treatment=control",2,1,"treated","control","This study investigates the transcriptional response of MCF7 breast cancer cells to TNFα stimulation over time, comparing wild-type and NF-κB-deficient variants.","GSE138237__GSE138237__grp_0005_vs_grp_0003__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE138237","GSE138237__grp_0006_vs_grp_0003","multi_arm_treatment","treatment_vs_untreated","treatment","genotype|ΔNFκB|time|90 min","untreated","grp_0006","grp_0003","MCF7 ΔNFκB TNFα 90 min","MCF7 ΔNFκB control","genotype=ΔNFκB ; treatment=TNFα ; time=90 min","genotype=ΔNFκB ; treatment=control",2,1,"treated","control","This study investigates the transcriptional response of MCF7 breast cancer cells to TNFα stimulation over time, comparing wild-type and NF-κB-deficient variants.","GSE138237__GSE138237__grp_0006_vs_grp_0003__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE147045","GSE147045__grp_0004_vs_grp_0002","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|Intestinal Epithelial Cells (IEC)","vehicle","grp_0004","grp_0002","Intestinal Epithelial Cells (IEC) treated with TNF","Intestinal Epithelial Cells (IEC) treated with Medium","treatment=TNF ; cell_type=Intestinal Epithelial Cells (IEC)","treatment=Medium ; cell_type=Intestinal Epithelial Cells (IEC)",3,2,"treated","control","This study investigates the effects of various cytokine stimulations on intestinal epithelial cells.","GSE147045__GSE147045__grp_0004_vs_grp_0002__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE148987","GSE148987__grp_0001_vs_grp_0006","multi_arm_treatment","treatment_vs_vehicle","treatment","genetic_knockdown|shMfn2 RNA","vehicle","grp_0001","grp_0006","HLMVECs + TNF","HLMVECs + DMSO","treatment=TNF ; genetic_knockdown=shMfn2 RNA","treatment=DMSO ; genetic_knockdown=shMfn2 RNA",1,2,"treated","control","This study investigates the effects of TNF stimulation and Mfn2 knockdown on human lung microvascular endothelial cells (HLMVECs). The experiment uses shMfn2 RNA to knock down mitofusin 2 and examines the impact of TNF treatment.","GSE148987__GSE148987__grp_0001_vs_grp_0006__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE151854","GSE151854__grp_0006_vs_grp_0003","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|HUVEC|culture_media|M199|tissue|umbilical cord","untreated","grp_0006","grp_0003","TNFα stimulated (50 ng/mL, 3h) in HUVECs from umbilical cord","Untreated control","treatment=cytokine_stimulation ; agent=TNFα ; dose=50 ng/mL ; duration=3 hours ; tissue=umbilical cord","treatment=vehicle_only ; agent=untreated",2,4,"treated","control","This study investigates the effects of TNFα stimulation and VWF knockdown on human umbilical vein endothelial cells (HUVECs). It includes various controls such as vehicle-only treatments and untreated samples.","GSE151854__GSE151854__grp_0006_vs_grp_0003__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE152755","GSE152755__grp_0003_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","cell_line|3998MEL","untreated","grp_0003","grp_0001","3998MEL TNF","3998MEL Untreated","cell_line=3998MEL ; treatment=TNF","cell_line=3998MEL ; treatment=Untreated",2,1,"treated","control","This study investigates the transcriptional response of various human melanoma cell lines to cytokine stimulation with IFNγ and TNF.","GSE152755__GSE152755__grp_0003_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE152755","GSE152755__grp_0006_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","treatment","cell_line|M257A2","untreated","grp_0006","grp_0004","M257A2 TNF","M257A2 Untreated","cell_line=M257A2 ; treatment=TNF","cell_line=M257A2 ; treatment=Untreated",1,1,"treated","control","This study investigates the transcriptional response of various human melanoma cell lines to cytokine stimulation with IFNγ and TNF.","GSE152755__GSE152755__grp_0006_vs_grp_0004__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE157364","GSE157364__grp_0004_vs_grp_0003","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|Primary fibroblast-like synoviocytes","untreated","grp_0004","grp_0003","Primary fibroblast-like synoviocytes treated with TNF","Primary fibroblast-like synoviocytes untreated","treatment=TNF ; cell_type=Primary fibroblast-like synoviocytes","treatment=untreated ; cell_type=Primary fibroblast-like synoviocytes",4,4,"treated","control","This study investigates the effects of ACP and TNF treatments on primary fibroblast-like synoviocytes and macrophages.","GSE157364__GSE157364__grp_0004_vs_grp_0003__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE157364","GSE157364__grp_0007_vs_grp_0009","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|Primary macrophages","untreated","grp_0007","grp_0009","Primary macrophages treated with TNF","Primary macrophages untreated","treatment=TNF ; cell_type=Primary macrophages","treatment=untreated ; cell_type=Primary macrophages",4,3,"treated","control","This study investigates the effects of ACP and TNF treatments on primary fibroblast-like synoviocytes and macrophages.","GSE157364__GSE157364__grp_0007_vs_grp_0009__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE159894","GSE159894__TNF_a_vs_Untreated","multi_arm_treatment","treatment_vs_untreated","treatment","","untreated","grp_0002","grp_0001","TNF-α","Untreated","treatment=TNF-α","treatment=Untreated",2,2,"treated","control","This study investigates the effects of TNF-α stimulation and Septin 2 knockdown on human endothelial cells.","GSE159894__GSE159894__TNF_a_vs_Untreated__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE161021","GSE161021__TNF_vs_PBS","treatment_vs_vehicle","treatment_vs_vehicle","treatment","cell_type|Human dermal microvascular endothelial cells","vehicle","grp_0003","grp_0001","TNF-treated","PBS-treated","treatment=TNF ; cell_type=Human dermal microvascular endothelial cells","treatment=PBS ; cell_type=Human dermal microvascular endothelial cells",3,2,"treated","control","This study investigates the effects of Tumor Necrosis Factor (TNF) stimulation on Human dermal microvascular endothelial cells.","GSE161021__GSE161021__TNF_vs_PBS__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE161021","GSE161021__TNF_vs_PBS","treatment_vs_vehicle","treatment_vs_vehicle","treatment","cell_type|Human dermal microvascular endothelial cells","vehicle","grp_0003","grp_0002","TNF-treated","PBS-treated","treatment=TNF ; cell_type=Human dermal microvascular endothelial cells","treatment=PBS ; cell_type=Human dermal microvascular endothelial cells",3,1,"treated","control","This study investigates the effects of Tumor Necrosis Factor (TNF) stimulation on Human dermal microvascular endothelial cells.","GSE161021__GSE161021__TNF_vs_PBS__2"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE161761","GSE161761__TNF_for_14_days_vs_Untreated","multi_arm_treatment","treatment_vs_untreated","perturbation","duration|14 days","untreated","grp_0007","grp_0005","TNF for 14 days","Untreated","perturbation=TNF ; duration=14 days",,2,3,"treated","control","This study investigates the effects of cytokine stimulation (IL1, TNF, and their combination) on primary bone marrow-derived mesenchymal stem cells (MSCs) over different durations.","GSE161761__GSE161761__TNF_for_14_days_vs_Untreated__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE161761","GSE161761__TNF_for_2_days_vs_Untreated","multi_arm_treatment","treatment_vs_untreated","perturbation","duration|2 days","untreated","grp_0008","grp_0005","TNF for 2 days","Untreated","perturbation=TNF ; duration=2 days",,1,3,"treated","control","This study investigates the effects of cytokine stimulation (IL1, TNF, and their combination) on primary bone marrow-derived mesenchymal stem cells (MSCs) over different durations.","GSE161761__GSE161761__TNF_for_2_days_vs_Untreated__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE163548","GSE163548__grp_0004_vs_grp_0001","treatment_vs_untreated","treatment_vs_untreated","treatment","tissue|Finger","untreated","grp_0004","grp_0001","RA FLS TNF-treated finger","RA FLS SF_415B untreated","treatment=TNF ; tissue=Finger","treatment=none ; tissue=Finger",1,2,"treated","control","This study investigates the transcriptional response of rheumatoid arthritis synovial fibroblasts (FLS) to TNF stimulation.","GSE163548__GSE163548__grp_0004_vs_grp_0001__1"
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892","GSE163548","GSE163548__grp_0006_vs_grp_0005","treatment_vs_untreated","treatment_vs_untreated","treatment","tissue|Knee","untreated","grp_0006","grp_0005","RA FLS TNF-treated knee","RA FLS SF_336 untreated knee","treatment=TNF ; tissue=Knee","treatment=none ; tissue=Knee",6,1,"treated","control","This study investigates the transcriptional response of rheumatoid arthritis synovial fibroblasts (FLS) to TNF stimulation.","GSE163548__GSE163548__grp_0006_vs_grp_0005__1"
