"cluster_id","contrast_entity","canonical_name","k","label_id","n_alias","esito","alias_che_matcha","n_membri"
"cgroup_L5_8eca612e","CHEBI:75045","foaming agent",4,"dabrafenib",3,"nome per esteso","dabrafenib",15
"cgroup_L5_16525349","CHEBI:78543","4-coumaroyltriacetic acid lactone",4,"ponatinib",7,"nome per esteso","ponatinib",25
"cgroup_L5_a4029927","CHEBI:61390","[5-(aminomethyl)-3-furyl]methyl diphosphate",4,"afatinib",5,"nome per esteso","afatinib",23
"cgroup_L5_57ea5503","CHEBI:88249","PD 0325901",4,"PD 0325901",8,"nome per esteso","pd0325901",4
"cgroup_L5_5e0c0fae","CHEMBL:CHEMBL1201576","RITUXIMAB",4,"RITUXIMAB",55,"nome per esteso","rituximab",23
"cgroup_L5_b2645a34","CHEMBL:CHEMBL1201577","CETUXIMAB",4,"CETUXIMAB",13,"nome per esteso","cetuximab",13
"cgroup_L5_f56d966d","CHEMBL:CHEMBL2177390","IPATASERTIB",4,"IPATASERTIB",5,"nome per esteso","ipatasertib",9
"cgroup_L5_206576be","HGNC:2434","<small>L</small>-arabinono-1,4-lactone",3,"CSF2",4,"nome per esteso","gm-csf",5
"cgroup_L5_9132f546","HGNC:5423","IFNA2",3,"IFNA2",4,"nome per esteso","interferon alpha 2",9
"cgroup_L5_c669863b","MeSH:D001749","bladder cancer",3,"Urinary Bladder Neoplasms",19,"nome per esteso","bladder cancer",11
"cgroup_L5_fbcdc471","MeSH:D002311","Cardiomyopathy, Dilated",3,"Cardiomyopathy, Dilated",26,"nome per esteso","dilated cardiomyopathy",6
"cgroup_L5_e0c9a685","MeSH:D003876","Atopic Dermatitis",3,"Dermatitis, Atopic",10,"nome per esteso","atopic dermatitis",11
"cgroup_L5_f2f8d3ac","MeSH:D006519","Hepatitis, Alcoholic",3,"Hepatitis, Alcoholic",6,"nome per esteso","alcoholic hepatitis",7
"cgroup_L5_7ba0168b","STR:lupus","systemic lupus erythematosus",3,"lupus",1,"nome per esteso","lupus",4
"cgroup_L5_d53bf74e","MeSH:D008224","Lymphoma, Follicular",3,"Lymphoma, Follicular",77,"nome per esteso","follicular lymphoma",5
"cgroup_L5_be3d65c3","MeSH:D010634","Phenobarbital",3,"Phenobarbital",13,"nome per esteso","luminal",4
"cgroup_L5_719ab136","MeSH:D012595","systemic sclerosis",3,"Scleroderma, Systemic",4,"nome per esteso","systemic sclerosis",4
"cgroup_L5_6ee86f02","MeSH:D013167","ankylosing spondylitis",3,"Spondylitis, Ankylosing",20,"nome per esteso","ankylosing spondylitis",3
"cgroup_L5_6c7f9e9e","MeSH:D015451","chronic lymphocytic leukemia",3,"Leukemia, Lymphocytic, Chronic, B-Cell",89,"nome per esteso","chronic lymphocytic leukemia",3
"cgroup_L5_c2cce144","STR:multiple_myeloma","acute lymphoblastic leukemia",3,"multiple_myeloma",1,"nome per esteso","multiple_myeloma",5
"cgroup_L5_aaecff07","STR:biliary_atresia","biliary atresia",3,"biliary_atresia",1,"nome per esteso","biliary_atresia",22
"cgroup_L5_7636ff0e","STR:chronic_periodontitis","chronic pariodontiits",3,"chronic_periodontitis",1,"nome per esteso","chronic_periodontitis",4
"cgroup_L5_777adc83","STR:g007_lk","colorectal adenocarcinoma",3,"g007_lk",1,"nome per esteso","g007_lk",8
"cgroup_L5_79b3a442","STR:cteph","cteph",3,"cteph",1,"nome per esteso","cteph",3
"cgroup_L5_70f8671b","STR:medulloblastoma","medulloblastoma",3,"medulloblastoma",1,"nome per esteso","medulloblastoma",8
"cgroup_L5_e7eebebd","STR:steatotic","steatotic",3,"steatotic",1,"nome per esteso","steatotic",7
"cgroup_L5_5a202240","CHEBI:17234","glucose",3,"glucose",6,"nome per esteso","glucose",10
"cgroup_L5_ea4a1823","CHEBI:22984","calcium atom",3,"calcium atom",7,"nome per esteso","calcium",5
"cgroup_L5_75110535","STR:senescent","Aging",3,"senescent",1,"nome per esteso","senescent",5
"cgroup_L5_97da8b42","STR:hypertension","spinal cord injury",3,"hypertension",1,"nome per esteso","hypertension",12
"cgroup_L5_729b276d","MeSH:D016640","plasma",3,"Diabetes, Gestational",7,"nome per esteso","gestational diabetes mellitus",3
"cgroup_L5_64c55823","STR:smoking","smoking",3,"smoking",1,"nome per esteso","smoking",15
"cgroup_L5_ead098cd","STR:stroke","stroke",3,"stroke",1,"nome per esteso","stroke",5
"cgroup_L5_8341bee7","CHEBI:17026","progesterone",3,"progesterone",16,"nome per esteso","progesterone",4
"cgroup_L5_64adcd6b","STR:srsf1_knockdown","serine and arginine rich splicing factor 1",3,"srsf1_knockdown",1,"nome per esteso","srsf1_knockdown",4
"cgroup_L5_45ca22b1","STR:dbrd9","VASH2",3,"dbrd9",1,"nome per esteso","dbrd9",7
"cgroup_L5_680b6b9c","HGNC:8975","PIK3CA",3,"PIK3CA",3,"nome per esteso","PIK3CA",11
"cgroup_L5_03544ab6","STR:covid","human papillomavirus",3,"covid",1,"nome per esteso","covid",6
"cgroup_L5_034592d9","NCBITaxon:1282","Staphylococcus epidermidis",3,"staphylococcusepidermidis",4,"nome per esteso","staphylococcusepidermidis",5
"cgroup_L5_44420e6e","NCBITaxon:851","fusobacteriumnucleatum",3,"fusobacteriumnucleatum",7,"nome per esteso","fusobacteriumnucleatum",5
"cgroup_L5_b3bbf8e4","CHEBI:125628","alisertib",3,"alisertib",9,"nome per esteso","alisertib",6
"cgroup_L5_61352c9e","CHEBI:132082","entinostat",3,"entinostat",14,"nome per esteso","entinostat",7
"cgroup_L5_edc8e828","CHEBI:95083","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NHC(=O)[CH<small><sub>2</sub></small>]<small><sub>4</sub></small>C(=O)NHR group",3,"I-BET151",11,"nome per esteso","i-bet 151",5
"cgroup_L5_83b1f88c","CHEBI:61397","(<i>S</i>)-glaucine(1+)",3,"neratinib",6,"nome per esteso","neratinib",25
"cgroup_L5_86417b40","CHEBI:140908","GANT61",3,"GANT61",6,"nome per esteso","gant-61",3
"cgroup_L5_b45f7252","CHEBI:142708","tigecycline(1+)",3,"tigecycline(1+)",4,"nome per esteso","tigecycline",5
"cgroup_L5_d28620cd","CHEBI:15738","staurosporine",3,"staurosporine",8,"nome per esteso","(+)-staurosporine",3
"cgroup_L5_47e67cab","STR:1_25_oh_2d3","(<i>S</i>)-<em>N</em>-methylcanadine",3,"1_25_oh_2d3",1,"nome per esteso","1_25_oh_2d3",16
"cgroup_L5_34376df0","CHEBI:18357","biotin amide",3,"(R)-noradrenaline",19,"nome per esteso","(−)-norepinephrine",9
"cgroup_L5_f01e9f74","CHEBI:233643","<small>L</small>-methionine + UNC0642",3,"UNC0642",7,"nome per esteso","unc-0642",4
"cgroup_L5_862cd9b9","CHEBI:167670","SCH772984",3,"SCH772984",7,"nome per esteso","sch 772984",7
"cgroup_L5_0b985869","CHEBI:16335","glucose",3,"adenosine",16,"nome per esteso","adenosine",4
"cgroup_L5_92f4f307","CHEBI:64317","kanamycin A",3,"isoprenaline",17,"nome per esteso","isoproterenol",8
"cgroup_L5_5756018b","CHEBI:176844","niraparib",3,"niraparib",10,"nome per esteso","niraparib",4
"cgroup_L5_759892f5","CHEBI:5931","chloride",3,"insulin (human)",11,"nome per esteso","insulin",9
"cgroup_L5_c5c72bba","CHEBI:189651","dBET6",3,"dBET6",3,"nome per esteso","dbet6",10
"cgroup_L5_2618c026","CHEBI:232613","BRM014",3,"BRM014",4,"nome per esteso","brm014",4
"cgroup_L5_fde7b89b","CHEBI:2704","anastrozole",3,"anastrozole",5,"nome per esteso","anastrozole",4
"cgroup_L5_d7abf612","CHEBI:28201","2-hexaprenyl-6-methoxy-1,4-benzoquinone",3,"rotenone",15,"nome per esteso","(−)-rotenone",6
"cgroup_L5_57810d6c","CHEBI:27881","resveratrol",3,"resveratrol",4,"nome per esteso","resveratrol",7
"cgroup_L5_3d3658ad","CHEBI:28777","liquiritigenin",3,"liquiritigenin",10,"nome per esteso","liquiritigenin",6
"cgroup_L5_26c302f6","CHEBI:28680","Buchananine",3,"cytarabine",13,"nome per esteso","cytarabine",4
"cgroup_L5_b837242a","STR:cocl2","cobalt chloride",3,"cocl2",1,"nome per esteso","cocl2",3
"cgroup_L5_1c7b64af","CHEBI:3638","chloroquine",3,"chloroquine",15,"nome per esteso","chloroquine",4
"cgroup_L5_8078374b","CHEBI:37415","α-amanitin",3,"α-amanitin",6,"nome per esteso","alpha-amanitin",4
"cgroup_L5_ebd83cd1","CHEBI:42068","idarubicin",3,"idarubicin",7,"nome per esteso","idarubicin",8
"cgroup_L5_ae969461","CHEBI:47458","saracatinib",3,"saracatinib",10,"nome per esteso","saracatinib",3
"cgroup_L5_24ae0579","CHEBI:47898","4'-epidoxorubicin",3,"4'-epidoxorubicin",12,"nome per esteso","epirubicin",11
"cgroup_L5_451ecb56","CHEBI:47344","Fibrin",3,"alvocidib",12,"nome per esteso","flavopiridol",5
"cgroup_L5_8f29463d","CHEBI:50729","mitoxantrone",3,"mitoxantrone",6,"nome per esteso","mitoxantrone",3
"cgroup_L5_af782291","CHEBI:81571","<em>N</em>-hydroxydihomomethionine",3,"Leptin",3,"nome per esteso","leptin",6
"cgroup_L5_06ff1592","CHEBI:5118","fluoxetine",3,"fluoxetine",9,"nome per esteso","fluoxetine",5
"cgroup_L5_b80b0368","CHEBI:6704","mebendazole",3,"mebendazole",6,"nome per esteso","mebendazole",5
"cgroup_L5_05322ba1","CHEBI:71019","omacetaxine mepesuccinate",3,"omacetaxine mepesuccinate",10,"nome per esteso","(−)-homoharringtonine",12
"cgroup_L5_5d97d5b1","CHEBI:59132","S-(1,2-dichlorovinyl)-L-cysteine",3,"antigen",3,"nome per esteso","antigens",5
"cgroup_L5_b8bc334a","CHEBI:79369","elesclomol",3,"elesclomol",6,"nome per esteso","elesclomol",4
"cgroup_L5_a3112513","CHEBI:8228","pioglitazone",3,"pioglitazone",6,"nome per esteso","pioglitazone",20
"cgroup_L5_00fd9348","CHEBI:8499","propranolol",3,"propranolol",10,"nome per esteso","propranolol",4
"cgroup_L5_9f34eb99","COMBO:indisulam+palbociclib","PS(20:3(8Z,11Z,14Z)/18:0)",3,"indisulam + palbociclib",2,"nome per esteso","palbociclib",4
"cgroup_L5_7cda77c1","CHEBI:90195","tacedinaline",3,"tacedinaline",10,"nome per esteso","tacedinaline",7
"cgroup_L5_0a71325c","CHEBI:90217","quizartinib",3,"quizartinib",10,"nome per esteso","quizartinib",18
"cgroup_L5_87135459","CHEBI:91414","adavosertib",3,"adavosertib",10,"nome per esteso","azd1775",5
"cgroup_L5_3437775a","CHEBI:91450","sapanisertib",3,"sapanisertib",17,"nome per esteso","ink 128",5
"cgroup_L5_9f293ec3","CHEBI:9150","simvastatin",3,"simvastatin",9,"nome per esteso","simvastatin",7
"cgroup_L5_f2139c4f","CHEBI:94287","erastin",3,"erastin",4,"nome per esteso","erastin",4
"cgroup_L5_766cd3c6","CHEBI:9513","thalidomide",3,"thalidomide",22,"nome per esteso","thalidomide",11
"cgroup_L5_0a4e5f58","CHEMBL:CHEMBL3544911","PREXASERTIB",3,"PREXASERTIB",4,"nome per esteso","prexasertib",7
"cgroup_L5_28bee975","CHEMBL:CHEMBL3987016","MIVEBRESIB",3,"MIVEBRESIB",4,"nome per esteso","abbv-075",6
"cgroup_L5_e16bfa7f","CHEMBL:CHEMBL4297454","ABBV-744",3,"ABBV-744",4,"nome per esteso","abbv-744",5
"cgroup_L5_b1c1f147","CHEMBL:CHEMBL4650278","REVUMENIB SESQUIFUMARATE",3,"REVUMENIB SESQUIFUMARATE",7,"nome per esteso","sndx 5613",6
"cgroup_L5_2f86628a","MeSH:D015470","Antifibrinolytic Agents",3,"Leukemia, Myeloid, Acute",49,"nome per esteso","acute myeloid leukemia",7
"cgroup_L5_3e8ba26a","MeSH:D005909","Gentamicins",3,"Glioblastoma",11,"nome per esteso","glioblastoma multiforme",11
"cgroup_L5_f9cc41b3","STR:vtp50469","0.1% vtp50469 in chow",3,"vtp50469",1,"nome per esteso","vtp50469",4
"cgroup_L5_1d4f4a13","CHEMBL:CHEMBL1201583","bevacizumab",3,"BEVACIZUMAB",78,"nome per esteso","bevacizumab",3
"cgroup_L5_5929f298","STR:snx631","lncap cells treated with 500 nm snx631 for 72 hours",3,"snx631",1,"nome per esteso","snx631",8
"cgroup_L5_e0fdea29","STR:sr2211","sr2211",3,"sr2211",1,"nome per esteso","sr2211",3
"cgroup_L5_4d535f25","STR:ykl_5_124","ykl-5-124 (100 nm)",3,"ykl_5_124",1,"nome per esteso","ykl_5_124",9
