"cluster_id","contrast_entity","contrast_entity_label","contrast_entity_label_source","contrast_entity_label_note","canonical_name","contrast_direction","contrast_control_key","k_effective","k_kish","frazione_efficace","quota_top1","dominato","studio_dominante","classe_studio_dominante","dominato_da_modello","materiale_misto","n_studi_model","n_studi_primary","n_studi_unknown","n_sig","I2_med","coherence_verdict","coherence_reason","n_studi_censiti","n_studi_poolati","stessi_membri","studi_caduti"
"cgroup_L5_a8ff7b6d","STR:atra","atra","str_literal",NA,"spin probe","gain","vehicle_untreated",5,2.64,0.661,0.4986,FALSE,"GSE155000","unknown",FALSE,FALSE,0,1,4,983,94.7163924206549,"coherent",NA,9,5,FALSE,"GSE163428 GSE175757 GSE184282 GSE202458"
"cgroup_L5_aa8c1d6d","CHEBI:230508","birabresib","chebi",NA,"birabresib","gain","vehicle_untreated",5,2.31,0.463,0.5573,TRUE,"GSE260507","unknown",FALSE,FALSE,1,0,4,2072,80.4545184416997,"coherent",NA,9,5,FALSE,"GSE102408 GSE109809 GSE145274 GSE158552"
"cgroup_L5_d411c435","CHEBI:29699","tunicamycin","chebi",NA,"tunicamycin","gain","vehicle_untreated",5,3.29,0.658,0.4169,FALSE,"GSE157069","unknown",FALSE,FALSE,2,0,3,2945,75.1744367774723,"coherent",NA,6,5,FALSE,"GSE148342"
"cgroup_L5_dd2a1a58","STR:heart_failure","heart failure","str_literal",NA,"glucose","gain","vehicle_untreated",5,1.96,0.391,0.6845,TRUE,"GSE145154","model",TRUE,TRUE,1,2,2,4060,36.4441010733082,"coherent",NA,6,5,FALSE,"GSE138252"
"cgroup_L5_df599af1","STR:sepsis","sepsis","str_literal",NA,"Sepsis","gain","vehicle_untreated",5,1.95,0.489,0.6613,TRUE,"GSE237861","primary",FALSE,FALSE,0,4,1,181,74.5363799881312,"coherent",NA,7,5,FALSE,"GSE185263 GSE217700"
"cgroup_L5_f29dd3b3","MeSH:D001172","Arthritis, Rheumatoid","mesh",NA,"Arthritis, Rheumatoid","gain","vehicle_untreated",5,1.45,0.363,0.818,TRUE,"GSE120178","unknown",FALSE,FALSE,0,3,2,117,21.9245086889144,"coherent",NA,7,5,FALSE,"GSE107363 GSE151897"
"cgroup_L5_f832048f","MeSH:D001943","Breast Neoplasms","mesh",NA,"Breast Neoplasms","gain","vehicle_untreated",5,3.75,0.75,0.3528,FALSE,"GSE225846","unknown",FALSE,FALSE,0,3,2,3264,70.7547644542609,"coherent",NA,6,5,FALSE,"GSE51124"
"cgroup_L5_f956ef98","CHEBI:28119","TCDD","override","nome sistematico ChEBI: 2;3;7;8-tetrachlorodibenzodioxine","2,3,7,8-Tetrachlorodibenzodioxin","gain","vehicle_untreated",5,1.8,0.36,0.721,TRUE,"GSE217334","unknown",FALSE,FALSE,2,0,3,650,69.7494642255446,"coherent",NA,7,5,FALSE,"GSE141711 GSE80953"
"cgroup_L5_10344dfd","CHEBI:4167","D-glucopyranose","chebi",NA,NA,"gain","vehicle_untreated",4,2.7,0.676,0.4971,FALSE,"GSE179347","model",FALSE,FALSE,1,0,3,2326,74.9556290970232,"coherent",NA,5,4,FALSE,"GSE246170"
"cgroup_L5_16525349","CHEBI:78543","ponatinib","chebi",NA,"4-coumaroyltriacetic acid lactone","gain","vehicle_untreated",4,2.07,0.519,0.613,TRUE,"GSE95079","model",TRUE,TRUE,1,1,2,471,47.8566109206891,"coherent",NA,4,4,TRUE,""
"cgroup_L5_17b35bdc","CHEBI:4672","docetaxel","override","nome ChEBI: docetaxel anhydrous","EIF5A2","gain","vehicle_untreated",4,2.04,0.509,0.6094,TRUE,"GSE162285","model",FALSE,FALSE,1,0,3,1465,85.2352922331186,"coherent",NA,8,4,FALSE,"GSE138751 GSE146402 GSE87225 GSE87226"
"cgroup_L5_17b55386","STR:fshd","fshd","str_literal",NA,"Facioscapulohumeral muscular dystrophy","gain","vehicle_untreated",4,2.58,0.646,0.503,TRUE,"GSE123468","primary",FALSE,FALSE,0,1,3,1078,83.1358865976169,"coherent",NA,4,4,TRUE,""
"cgroup_L5_2a225fda","STR:asthma","asthma","str_literal",NA,NA,"gain","vehicle_untreated",4,2.09,0.522,0.5825,TRUE,"GSE201955","unknown",FALSE,FALSE,0,1,3,77,22.3429651067231,"coherent",NA,5,4,FALSE,"GSE85567"
"cgroup_L5_3370a794","CHEBI:145372","gilteritinib","chebi",NA,"Gilteritinib","gain","vehicle_untreated",4,2.34,0.585,0.507,TRUE,"GSE180180","unknown",FALSE,FALSE,0,0,4,1094,84.033854466767,"coherent",NA,4,4,TRUE,""
"cgroup_L5_3439da02","CHEBI:68478","everolimus","chebi",NA,"tolcapone","gain","vehicle_untreated",4,3.33,0.833,0.3826,FALSE,"GSE99875","model",FALSE,TRUE,1,1,2,1335,91.0238185968213,"coherent",NA,5,4,FALSE,"GSE230627"
"cgroup_L5_37942548","CHEBI:15367","all-trans-retinoic acid","chebi",NA,"ethyl (<i>R</i>)-3-hydroxyhexanoate","gain","vehicle_untreated",4,2.46,0.615,0.5198,TRUE,"GSE69121","unknown",FALSE,FALSE,2,0,2,762,61.9202476755918,"coherent",NA,7,4,FALSE,"GSE121534 GSE199800 GSE93206"
"cgroup_L5_37ecd157","STR:vegf","vegf","str_literal",NA,"but-1-ene-1,2,4-tricarboxylic acid","gain","vehicle_untreated",4,3.01,0.753,0.4335,FALSE,"GSE221860","unknown",FALSE,FALSE,0,1,3,383,34.9469165959419,"coherent",NA,4,4,TRUE,""
"cgroup_L5_3973fe03","HGNC:5991","IL1A","hgnc",NA,"Interleukin-1alpha","gain","vehicle_untreated",4,1.93,0.482,0.6717,TRUE,"GSE181229","unknown",FALSE,FALSE,0,1,3,947,63.029103560452,"incoherent","PEGGIORATO dal pooling: i due studi IL-1alfa veri (GSE120784, GSE142706) sono caduti e restano dentro entrambi gli IL-1beta (GSE155141; GSE205853, che e' per giunta IFN-gamma+IL-1beta). Sui 4 studi poolati, 2 misurano un'altra citochina",6,4,FALSE,"GSE120784 GSE142706"
"cgroup_L5_3a625868","CHEBI:231601","trastuzumab","chebi",NA,"trastuzumab","gain","vehicle_untreated",4,1.92,0.479,0.66,TRUE,"GSE158969","unknown",FALSE,FALSE,0,1,3,1649,80.887949300014,"coherent",NA,5,4,FALSE,"GSE121105"
"cgroup_L5_3b461817","CHEBI:52172","nilotinib","chebi",NA,"flavanone","gain","vehicle_untreated",4,2.7,0.675,0.4825,FALSE,"GSE217423","unknown",FALSE,FALSE,1,0,3,787,51.3141113404482,"coherent",NA,5,4,FALSE,"GSE62121"
"cgroup_L5_3d8c29f4","HGNC:6001","IL2","hgnc",NA,"Interleukin-2","gain","vehicle_untreated",4,2.38,0.596,0.5354,TRUE,"GSE122409","unknown",FALSE,FALSE,3,0,1,387,86.4800408580361,"coherent",NA,6,4,FALSE,"GSE194036 GSE197003"
"cgroup_L5_3f0cc1fe","MeSH:D003093","Colitis, Ulcerative","mesh",NA,"ulcerative colitis","gain","vehicle_untreated",4,2.36,0.59,0.5243,TRUE,"GSE243625","primary",FALSE,FALSE,0,1,3,555,61.0108330986653,"coherent",NA,10,4,FALSE,"GSE102746 GSE165512 GSE193677 GSE224758 GSE83687 GSE92472"
"cgroup_L5_4be9e90d","CHEBI:39421","PFOS","override","nome sistematico ChEBI: perfluorooctane-1-sulfonic acid","perfluorooctane-1-sulfonic acid","gain","vehicle_untreated",4,1.72,0.573,0.7304,TRUE,"GSE144775","unknown",FALSE,FALSE,1,0,3,549,9.25514460682296,"coherent",NA,4,4,TRUE,""
"cgroup_L5_522fa0c2","STR:sals","sals","str_literal",NA,"sals","gain","vehicle_untreated",4,1.95,0.487,0.6361,TRUE,"GSE67196","primary",FALSE,FALSE,0,2,2,56,0.652147301373878,"coherent",NA,5,4,FALSE,"GSE138691"
"cgroup_L5_5927750b","CHEBI:65347","carfilzomib","chebi",NA,"nicotinate-adenine dinucleotide phosphate(4−)","gain","vehicle_untreated",4,1.89,0.473,0.6691,TRUE,"GSE184029","unknown",FALSE,FALSE,1,0,3,2135,88.3310528524389,"coherent",NA,4,4,TRUE,""
"cgroup_L5_5e0c0fae","CHEMBL:CHEMBL1201576","RITUXIMAB","chembl",NA,"RITUXIMAB","gain","vehicle_untreated",4,1.44,0.48,0.8184,TRUE,"GSE211829","unknown",FALSE,FALSE,0,1,3,509,10.6897781589085,"coherent",NA,4,4,TRUE,""
"cgroup_L5_74daf1c9","STR:oscc","oscc","str_literal",NA,"oral squamous cell carcinoma","gain","vehicle_untreated",4,2.42,0.808,0.5129,TRUE,"GSE246050","primary",FALSE,FALSE,0,4,0,4188,7.93507093723065,"coherent",NA,4,4,TRUE,""
"cgroup_L5_828ae0cb","HGNC:11927","TWEAK (TNFSF12)","override","simbolo del gene poco riconoscibile: negli studi si chiama TWEAK","epoxyoctadecenoate","gain","vehicle_untreated",4,2.91,0.728,0.4474,FALSE,"GSE251869","unknown",FALSE,FALSE,1,0,3,1307,65.5577603472859,"coherent",NA,5,4,FALSE,"GSE171170"
"cgroup_L5_8ac307e0","CHEBI:72317","cabozantinib","chebi",NA,"2-decenal","gain","vehicle_untreated",4,1.38,0.346,0.8434,TRUE,"GSE171358","model",TRUE,TRUE,2,1,1,2008,52.8295053867626,"coherent",NA,8,4,FALSE,"GSE148538 GSE151003 GSE153853 GSE60939"
"cgroup_L5_93068469","CHEBI:2038","5-azacytidine","chebi",NA,"5-azacytidine","gain","vehicle_untreated",4,2.62,0.656,0.5065,TRUE,"GSE117446","model",FALSE,FALSE,1,0,3,1278,87.6081418939175,"coherent",NA,6,4,FALSE,"GSE148069 GSE159925"
"cgroup_L5_96c9f7bf","STR:bipolar_disorder","bipolar disorder","str_literal",NA,NA,"gain","vehicle_untreated",4,2.27,0.568,0.5998,TRUE,"GSE80655","primary",FALSE,TRUE,1,2,1,2619,66.7978748737369,"coherent",NA,4,4,TRUE,""
"cgroup_L5_988d478d","STR:copd","copd","str_literal",NA,"ionizing radiation","gain","vehicle_untreated",4,1.98,0.659,0.6303,TRUE,"GSE178807","primary",FALSE,FALSE,0,4,0,32,16.6278344485705,"coherent",NA,4,4,TRUE,""
"cgroup_L5_a4029927","CHEBI:61390","afatinib","chebi",NA,"[5-(aminomethyl)-3-furyl]methyl diphosphate","gain","vehicle_untreated",4,1.52,0.508,0.7891,TRUE,"GSE162285","unknown",FALSE,TRUE,1,1,2,1753,23.6837927569173,"coherent",NA,4,4,TRUE,""
"cgroup_L5_a69fcae5","MeSH:D008180","Lupus Erythematosus, Systemic","mesh",NA,"cancer","gain","vehicle_untreated",4,3.04,0.759,0.4351,FALSE,"GSE92387","unknown",FALSE,FALSE,0,2,2,429,56.353334849001,"coherent",NA,6,4,FALSE,"GSE131525 GSE92472"
"cgroup_L5_a7509255","NCBITaxon:1280","Staphylococcus aureus","override","dizionario: senza spazi","Staphylococcus aureus","gain","vehicle_untreated",4,1.5,0.375,0.8041,TRUE,"GSE173902","unknown",FALSE,FALSE,1,0,3,1356,64.2781169429242,"coherent",NA,4,4,TRUE,""
"cgroup_L5_a8015c98","CHEBI:175901","gemcitabine","chebi",NA,"gemcitabine","gain","vehicle_untreated",4,2.85,0.712,0.4742,FALSE,"GSE189764","unknown",FALSE,FALSE,0,0,4,1303,61.8245854190079,"coherent",NA,7,4,FALSE,"GSE172303 GSE249302 GSE250050"
"cgroup_L5_a8d88150","CHEBI:85994","lenvatinib","chebi",NA,"<em>N</em>-[(<i>Z</i>)-dodec-2-enoyl]morpholine","gain","vehicle_untreated",4,1.4,0.351,0.8368,TRUE,"GSE211850","unknown",FALSE,TRUE,1,1,2,1061,7.28010215168056,"coherent",NA,5,4,FALSE,"GSE199800"
"cgroup_L5_ae11259e","CHEBI:71200","tofacitinib","chebi",NA,"tofacitinib","gain","vehicle_untreated",4,2.08,0.692,0.6407,TRUE,"GSE94235","model",TRUE,TRUE,1,2,1,184,41.9825977051829,"coherent",NA,5,4,FALSE,"GSE199800"
"cgroup_L5_b0066299","STR:keloid","keloid","str_literal",NA,"Friedreich's ataxia","gain","vehicle_untreated",4,3,0.75,0.4404,FALSE,"GSE185309","unknown",FALSE,FALSE,0,2,2,313,68.1777612737004,"coherent",NA,10,4,FALSE,"GSE125022 GSE173900 GSE175866 GSE190626 GSE202851 GSE212954"
"cgroup_L5_b5db4aff","CHEBI:229764","selinexor","chebi",NA,"selinexor","gain","vehicle_untreated",4,1.93,0.482,0.673,TRUE,"GSE181003","unknown",FALSE,FALSE,0,0,4,1828,77.7852617348033,"coherent",NA,5,4,FALSE,"GSE137702"
"cgroup_L5_b9c77320","NCBITaxon:11676","HIV-1","override","dizionario: humanimmunodeficiencyvirus1","HIV-1","gain","vehicle_untreated",4,1.76,0.44,0.7138,TRUE,"GSE124118","unknown",FALSE,FALSE,0,1,3,1718,89.3773947106676,"coherent",NA,6,4,FALSE,"GSE143685 GSE92262"
"cgroup_L5_c040a36d","MeSH:D002292","Carcinoma, Renal Cell","mesh",NA,"Residual Volume","gain","vehicle_untreated",4,3.04,0.761,0.3865,FALSE,"GSE126964","unknown",FALSE,TRUE,1,2,1,4662,79.6835793537034,"coherent",NA,5,4,FALSE,"GSE150474"
"cgroup_L5_d2c64672","CHEBI:61080","romidepsin","chebi",NA,"topiramate","gain","vehicle_untreated",4,3.5,0.875,0.3658,FALSE,"GSE219065","model",FALSE,FALSE,2,0,2,2384,80.6395419068428,"coherent",NA,6,4,FALSE,"GSE132053 GSE148069"
"cgroup_L5_dcce160a","CHEBI:41977","daunorubicin","chebi",NA,"daunorubicin","gain","vehicle_untreated",4,2.9,0.966,0.4221,FALSE,"GSE86190","model",FALSE,FALSE,2,0,2,2048,82.67573496846,"coherent",NA,5,4,FALSE,"GSE199800"
"cgroup_L5_eba39954","MeSH:D000074285","Smokers","mesh",NA,"(<i>S</i>)-nicotine","gain","non smoker",4,1.95,0.65,0.6397,TRUE,"GSE177034","unknown",FALSE,FALSE,0,1,3,10,32.9332054491396,"coherent",NA,5,4,FALSE,"GSE102556"
"cgroup_L5_fd0c6a79","CHEBI:68647","regorafenib","chebi",NA,"6,7,4'-trihydroxyflavanone","gain","vehicle_untreated",4,2.19,0.546,0.5955,TRUE,"GSE217421","primary",FALSE,TRUE,1,1,2,287,47.6966456970896,"coherent",NA,5,4,FALSE,"GSE199800"
"cgroup_L5_00fd9348","CHEBI:8499","propranolol","chebi",NA,"propranolol","gain","vehicle_untreated",3,1.43,0.476,0.819,TRUE,"GSE228234","unknown",FALSE,FALSE,0,0,3,1413,80.9830729046538,"coherent",NA,3,3,TRUE,""
"cgroup_L5_034592d9","NCBITaxon:1282","Staphylococcus epidermidis","override","dizionario: senza spazi","Staphylococcus epidermidis","gain","vehicle_untreated",3,1.51,0.503,0.7973,TRUE,"GSE173902","unknown",FALSE,FALSE,0,0,3,1539,64.9260265978409,"coherent",NA,3,3,TRUE,""
"cgroup_L5_03d0ca7b","CHEBI:4551","digoxin","chebi",NA,"digoxin","gain","vehicle_untreated",3,1.25,0.418,0.8881,TRUE,"GSE262030","unknown",FALSE,FALSE,0,1,2,766,66.0726281297742,"coherent",NA,5,3,FALSE,"GSE134045 GSE79400"
"cgroup_L5_05322ba1","CHEBI:71019","omacetaxine","override","nome ChEBI: omacetaxine mepesuccinate","omacetaxine mepesuccinate","gain","vehicle_untreated",3,2.07,0.69,0.5739,TRUE,"GSE193897","unknown",FALSE,FALSE,0,0,3,4270,92.3598674680171,"coherent",NA,3,3,TRUE,""
"cgroup_L5_1e8a735e","CHEBI:9516","thapsigargin","chebi",NA,"thapsigargin","gain","vehicle_untreated",3,2.42,0.807,0.5352,TRUE,"GSE129942","unknown",FALSE,FALSE,0,0,3,2676,76.6359094379226,"coherent",NA,6,3,FALSE,"GSE138730 GSE251911 GSE84636"
"cgroup_L5_2248a891","CHEBI:42471","forskolin","chebi",NA,"glutamine","gain","vehicle_untreated",3,1.36,0.454,0.8465,TRUE,"GSE202436","primary",FALSE,TRUE,1,1,1,610,31.4802468760705,"coherent",NA,5,3,FALSE,"GSE205261 GSE223514"
"cgroup_L5_24ae0579","CHEBI:47898","4'-epidoxorubicin","chebi",NA,"4'-epidoxorubicin","gain","vehicle_untreated",3,1.37,0.687,0.8408,TRUE,"GSE216137","unknown",FALSE,FALSE,0,0,3,3040,89.3873907347549,"coherent",NA,3,3,TRUE,""
"cgroup_L5_28bee975","CHEMBL:CHEMBL3987016","MIVEBRESIB","chembl",NA,"MIVEBRESIB","gain","vehicle_untreated",3,2.64,0.881,0.4476,FALSE,"GSE208774","unknown",FALSE,FALSE,1,0,2,3706,89.3664776934542,"coherent",NA,3,3,TRUE,""
"cgroup_L5_2d53def6","HGNC:6005","IL21","hgnc",NA,"IL5","gain","vehicle_untreated",3,1.96,0.654,0.6247,TRUE,"GSE120904","model",FALSE,FALSE,2,0,1,181,13.9929341848807,"coherent",NA,5,3,FALSE,"GSE129093 GSE227098"
"cgroup_L5_344e058f","HGNC:1071","BMP4","hgnc",NA,"Bone Morphogenetic Protein 4","gain","vehicle_untreated",3,1.89,0.629,0.6263,TRUE,"GSE134045","model",FALSE,FALSE,1,0,2,2668,61.9365639774348,"coherent",NA,5,3,FALSE,"GSE101353 GSE84577"
"cgroup_L5_356eedd3","CHEBI:46024","trichostatin A","chebi",NA,"trichostatin A","gain","vehicle_untreated",3,2.89,0.963,0.4081,FALSE,"GSE82204","unknown",FALSE,FALSE,0,0,3,3789,85.4971377982295,"coherent",NA,5,3,FALSE,"GSE80048 GSE98805"
"cgroup_L5_387b0d1a","MeSH:D003922","Diabetes Mellitus, Type 1","mesh",NA,"type 1 diabetes","gain","vehicle_untreated",3,2,0.668,0.6115,TRUE,"GSE131526","primary",FALSE,FALSE,0,2,1,180,44.821303112786,"coherent",NA,4,3,FALSE,"GSE130279"
"cgroup_L5_3a58e5f5","CHEBI:15551","prostaglandin E2","chebi",NA,"prostaglandin E<small><sub>2</sub></small>","gain","vehicle_untreated",3,1.58,0.528,0.7706,TRUE,"GSE163831","unknown",FALSE,FALSE,1,0,2,2479,35.8059165725976,"coherent",NA,4,3,FALSE,"GSE99392"
"cgroup_L5_3be7454c","HGNC:5417","IFNA1","hgnc",NA,"Interferon-alpha","gain","vehicle_untreated",3,2.24,0.747,0.5379,TRUE,"GSE202350","unknown",FALSE,FALSE,1,0,2,992,66.3636220970033,"incoherent","RITRATTATO il 2026-07-30 (il verdetto precedente era stato dato su un'etichetta TRONCATA a 58 caratteri). Il testo intero di GSE126517 e' 'R5020 for 6 hours AND IFN-alpha for 18 hours' contro 'EtOH for 6 hours and water for 18 hours': l'interferone c'e' davvero, ma il confronto misura la COMBINAZIONE R5020+IFN-alfa contro doppio veicolo, mentre gli altri due studi poolati misurano IFN-alfa da solo. Resta incoerente per combinazione non catturata (categoria nota), NON perche' misuri un'altra entita'. Lo stesso studio compare correttamente nel gruppo STR:r5020 col braccio R5020 puro",6,3,FALSE,"GSE124810 GSE221804 GSE234424"
"cgroup_L5_3de56a79","STR:pdac","pdac","str_literal",NA,"pdac","gain","vehicle_untreated",3,1.53,0.51,0.7772,TRUE,"GSE133684","unknown",FALSE,FALSE,0,2,1,27,51.4766192654952,"coherent",NA,4,3,FALSE,"GSE210351"
"cgroup_L5_3fa847fe","STR:osteoarthritis","osteoarthritis","str_literal",NA,"osteoarthritis","gain","vehicle_untreated",3,2.08,0.692,0.6107,TRUE,"GSE89408","unknown",FALSE,FALSE,0,1,2,425,41.9637797438057,"coherent",NA,5,3,FALSE,"GSE110606 GSE179716"
"cgroup_L5_455fe91d","CHEBI:86193","DAPT","chebi",NA,"DAPT","gain","vehicle_untreated",3,2.08,0.694,0.586,TRUE,"GSE148919","unknown",FALSE,FALSE,0,1,2,994,81.1455938988415,"coherent",NA,4,3,FALSE,"GSE66744"
"cgroup_L5_469db990","STR:nahs","nahs","str_literal",NA,"hydrogen sulfide","gain","vehicle_untreated",3,1.47,0.492,0.8085,TRUE,"GSE193660","unknown",FALSE,FALSE,0,0,3,787,18.9378630397401,"coherent",NA,3,3,TRUE,""
"cgroup_L5_49e290ae","CHEBI:4031","cyclosporin A","chebi",NA,"glycine betaine","gain","vehicle_untreated",3,1.67,0.837,0.7276,TRUE,"GSE236896","unknown",FALSE,FALSE,0,0,3,215,14.7069381836217,"coherent",NA,5,3,FALSE,"GSE208405 GSE259282"
"cgroup_L5_4d535f25","STR:ykl_5_124","ykl 5 124","str_literal",NA,"ykl-5-124 (100 nm)","gain","vehicle_untreated",3,2.4,0.801,0.5447,TRUE,"GSE172442","unknown",FALSE,FALSE,2,0,1,1163,41.5084978928097,"coherent",NA,3,3,TRUE,""
"cgroup_L5_516200d1","CHEBI:29073","L-ascorbic acid","chebi",NA,"3-methyl-<i>cis</i>,<i>cis</i>-muconic acid","gain","vehicle_untreated",3,2.08,0.695,0.6,TRUE,"GSE242759","unknown",FALSE,FALSE,0,0,3,1252,73.2298632543725,"coherent",NA,4,3,FALSE,"GSE98692"
"cgroup_L5_523e64b9","CHEBI:67271","MK-2206","chebi",NA,"(5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-icosatrienoate","gain","vehicle_untreated",3,1.44,0.479,0.8189,TRUE,"GSE161283","unknown",FALSE,FALSE,1,0,2,1739,44.2552713810173,"coherent",NA,4,3,FALSE,"GSE199800"
"cgroup_L5_5929f298","STR:snx631","snx631","str_literal",NA,"lncap cells treated with 500 nm snx631 for 72 hours","gain","vehicle_untreated",3,1.8,0.601,0.695,TRUE,"GSE240369","unknown",FALSE,FALSE,1,0,2,1293,78.6617429885096,"coherent",NA,3,3,TRUE,""
"cgroup_L5_5b9a08fb","CHEBI:44185","methotrexate","chebi",NA,"methotrexate","gain","vehicle_untreated",3,1.88,0.627,0.6398,TRUE,"GSE163377","unknown",FALSE,FALSE,0,0,3,1077,88.5709172362168,"coherent",NA,4,3,FALSE,"GSE183062"
"cgroup_L5_5d97d5b1","CHEBI:59132","antigen (classe-ombrello)","override","entita' generica: il gruppo e' dichiarato incoerente","S-(1,2-dichlorovinyl)-L-cysteine","gain","vehicle_untreated",3,1.74,0.581,0.7188,TRUE,"GSE229026","model",FALSE,FALSE,1,0,2,251,56.1738452415565,"incoherent","invariato (stesso insieme di membri, provato): tre contrasti diversi sotto un'entita' che e' una classe-ombrello ('antigen') — DCVC nefrotossico (GSE154339, dove 'SV40 T antigen' e' il tipo cellulare), 'HHC treated' (GSE179987) e stimolazione antigenica di cellule T CD8+ (GSE229026)",3,3,TRUE,""
"cgroup_L5_6b7b8076","MeSH:D000077273","Thyroid Cancer, Papillary","mesh",NA,"papillary thyroid carcinoma","gain","vehicle_untreated",3,2.49,0.83,0.4897,FALSE,"GSE153659","primary",FALSE,FALSE,0,3,0,3491,33.3407928274148,"coherent",NA,4,3,FALSE,"GSE64912"
"cgroup_L5_6ee86f02","MeSH:D013167","Spondylitis, Ankylosing","mesh",NA,"ankylosing spondylitis","gain","vehicle_untreated",3,1.45,0.485,0.8071,TRUE,"GSE212613","model",TRUE,TRUE,1,1,1,348,13.5456297987167,"coherent",NA,3,3,TRUE,""
"cgroup_L5_729b276d","MeSH:D016640","Diabetes, Gestational","mesh",NA,"plasma","gain","vehicle_untreated",3,1.19,0.594,0.9136,TRUE,"GSE154414","primary",FALSE,TRUE,1,2,0,23,0.0102449333564729,"coherent",NA,3,3,TRUE,""
"cgroup_L5_79b3a442","STR:cteph","cteph","str_literal",NA,"cteph","gain","vehicle_untreated",3,1.72,0.86,0.7102,TRUE,"GSE84538","unknown",FALSE,FALSE,0,1,2,116,49.8095934164287,"coherent",NA,3,3,TRUE,""
"cgroup_L5_81b706c4","CHEBI:45863","paclitaxel","chebi",NA,"thiirane","gain","vehicle_untreated",3,1.83,0.914,0.6587,TRUE,"GSE236502","unknown",FALSE,FALSE,0,0,3,84,73.3579573547877,"coherent",NA,12,3,FALSE,"GSE107676 GSE131983 GSE135215 GSE158640 GSE183477 GSE204825 GSE232764 GSE262746 GSE84863"
"cgroup_L5_8341bee7","CHEBI:17026","progesterone","chebi",NA,"progesterone","gain","vehicle_untreated",3,1.76,0.588,0.7124,TRUE,"GSE149640","unknown",FALSE,FALSE,1,0,2,227,72.0252748790854,"coherent",NA,3,3,TRUE,""
"cgroup_L5_83b1f88c","CHEBI:61397","neratinib","chebi",NA,"(<i>S</i>)-glaucine(1+)","gain","vehicle_untreated",3,1.99,0.664,0.5775,TRUE,"GSE188958","unknown",FALSE,FALSE,1,0,2,2782,73.6246747754507,"coherent",NA,3,3,TRUE,""
"cgroup_L5_840b7e36","HGNC:1653","anti-CD3/CD28 stimulation","override","ID PARZIALE: i membri sono stimolazioni con anticorpi anti-CD3 e anti-CD28","Corynebacterium acnes","gain","vehicle_untreated",3,2.08,0.693,0.578,TRUE,"GSE263462","primary",FALSE,FALSE,0,1,2,643,91.6233272194744,"coherent",NA,4,3,FALSE,"GSE160123"
"cgroup_L5_862cd9b9","CHEBI:167670","SCH772984","chebi",NA,"SCH772984","gain","vehicle_untreated",3,1.99,0.664,0.5634,TRUE,"GSE237177","unknown",FALSE,FALSE,0,0,3,1781,92.3229122929098,"coherent",NA,3,3,TRUE,""
"cgroup_L5_8eca612e","CHEBI:75045","dabrafenib","chebi",NA,"foaming agent","gain","vehicle_untreated",3,1.44,0.48,0.8197,TRUE,"GSE217421","unknown",FALSE,FALSE,0,0,3,149,23.8023827520051,"coherent",NA,4,3,FALSE,"GSE199800"
"cgroup_L5_92f4f307","CHEBI:64317","isoprenaline","chebi",NA,"kanamycin A","gain","vehicle_untreated",3,1.29,0.645,0.8722,TRUE,"GSE179347","model",FALSE,FALSE,1,0,2,537,0.00654275086932781,"coherent",NA,3,3,TRUE,""
"cgroup_L5_964c6389","MeSH:D006816","Huntington Disease","mesh",NA,"neurodevelopmental disorder","gain","vehicle_untreated",3,2.16,0.721,0.6024,TRUE,"GSE105041","model",TRUE,TRUE,1,1,1,1446,41.1341512542248,"coherent",NA,4,3,FALSE,"GSE159940"
"cgroup_L5_9bb4734d","STR:ifnb","ifnb","str_literal",NA,"Interferon-beta","gain","vehicle_untreated",3,2.14,0.712,0.5445,TRUE,"GSE161916","unknown",FALSE,FALSE,0,0,3,2693,62.4071624328987,"coherent",NA,5,3,FALSE,"GSE104348 GSE129093"
"cgroup_L5_9bdf0dcb","STR:ifna","ifna","str_literal",NA,"palmitate","gain","vehicle_untreated",3,2.28,0.759,0.5533,TRUE,"GSE161916","unknown",FALSE,FALSE,0,0,3,1749,49.8461774134767,"coherent",NA,6,3,FALSE,"GSE124810 GSE205276 GSE98372"
"cgroup_L5_9f0ea111","CHEBI:230484","StemRegenin 1","chebi",NA,"StemRegenin 1","gain","vehicle_untreated",3,1.27,0.422,0.8827,TRUE,"GSE156900","model",TRUE,TRUE,2,1,0,834,58.1141648550272,"coherent",NA,4,3,FALSE,"GSE57561"
"cgroup_L5_a3c3e08c","MeSH:D008175","Lung Neoplasms","mesh",NA,"non-small cell lung carcinoma","gain","vehicle_untreated",3,1.02,0.512,0.988,TRUE,"GSE234170","primary",FALSE,FALSE,0,3,0,1884,0.146202928028848,"coherent",NA,5,3,FALSE,"GSE120622 GSE174302"
"cgroup_L5_a3f0c959","CHEBI:232752","GSK-LSD1","chebi",NA,"GSK-LSD1","gain","vehicle_untreated",3,1.92,0.639,0.6588,TRUE,"GSE133737","unknown",FALSE,FALSE,1,0,2,933,60.0318476440726,"coherent",NA,4,3,FALSE,"GSE237363"
